tag,simulation,active proportion,mean,std
First_Hypothesis_00000,simulation_0.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_1.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_10.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_11.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_12.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_13.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_14.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_15.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_16.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_17.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_18.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_19.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_2.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_20.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_21.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_22.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_23.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_24.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_25.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_26.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_27.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_28.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_29.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_3.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_4.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_5.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_6.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_7.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_8.csv,0.32,0.32,0.0
First_Hypothesis_00000,simulation_9.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_0.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_1.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_10.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_11.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_12.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_13.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_14.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_15.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_16.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_17.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_18.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_19.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_2.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_20.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_21.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_22.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_23.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_24.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_25.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_26.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_27.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_28.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_29.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_3.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_4.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_5.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_6.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_7.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_8.csv,0.32,0.32,0.0
First_Hypothesis_00001,simulation_9.csv,0.32,0.32,0.0
First_Hypothesis_00002,simulation_0.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_1.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_10.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_11.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_12.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_13.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_14.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_15.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_16.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_17.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_18.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_19.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_2.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_20.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_21.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_22.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_23.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_24.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_25.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_26.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_27.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_28.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_29.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_3.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_4.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_5.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_6.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_7.csv,0.66,0.679,0.004
First_Hypothesis_00002,simulation_8.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_9.csv,0.68,0.679,0.004
First_Hypothesis_00003,simulation_0.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_1.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_10.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_11.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_12.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_13.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_14.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_15.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_16.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_17.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_18.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_19.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_2.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_20.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_21.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_22.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_23.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_24.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_25.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_26.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_27.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_28.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_29.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_3.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_4.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_5.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_6.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_7.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_8.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_9.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_0.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_1.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_10.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_11.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_12.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_13.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_14.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_15.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_16.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_17.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_18.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_19.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_2.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_20.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_21.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_22.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_23.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_24.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_25.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_26.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_27.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_28.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_29.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_3.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_4.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_5.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_6.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_7.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_8.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_9.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_0.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_1.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_10.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_11.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_12.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_13.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_14.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_15.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_16.csv,0.96,0.96,0.0
