run_tag,metric,n_a,n_b,mean_a,mean_b,mean_diff,t,df,p_value,cohens_d,effect,significant
newoutcome1_00000,mean_jump_deg,25,25,105.4252,106.5081,-1.0829,-0.6891,42.86,0.4944661263090485,-0.1949,negligible,False
newoutcome1_00000,mean_jump_cos,25,25,68.071,68.2354,-0.1644,-0.0711,46.09,0.9436106805724791,-0.0201,negligible,False
newoutcome1_00000,opposite_switch_rate,25,25,0.176,0.1701,0.0059,0.3699,42.39,0.7132662673716654,0.1046,negligible,False
newoutcome1_00001,mean_jump_deg,25,25,108.0234,108.236,-0.2126,-0.1176,47.97,0.9068685194331287,-0.0333,negligible,False
newoutcome1_00001,mean_jump_cos,25,25,71.4866,71.5012,-0.0146,-0.0056,47.82,0.9955673393033321,-0.0016,negligible,False
newoutcome1_00001,opposite_switch_rate,25,25,0.2019,0.1909,0.011,0.6373,46.86,0.5270329032030523,0.1803,negligible,False
newoutcome1_00002,mean_jump_deg,25,25,106.8216,105.9009,0.9207,0.4186,46.25,0.6774588576800449,0.1184,negligible,False
newoutcome1_00002,mean_jump_cos,25,25,69.9949,69.2926,0.7022,0.2196,46.44,0.8271093068438233,0.0621,negligible,False
newoutcome1_00002,opposite_switch_rate,25,25,0.1927,0.1813,0.0114,0.591,47.89,0.5572852599326726,0.1672,negligible,False
newoutcome1_00003,mean_jump_deg,25,25,106.9964,106.4595,0.5369,0.1782,47.98,0.859289086256009,0.0504,negligible,False
newoutcome1_00003,mean_jump_cos,25,25,69.8986,69.586,0.3127,0.0726,47.93,0.9424393190077976,0.0205,negligible,False
newoutcome1_00003,opposite_switch_rate,25,25,0.1749,0.1808,-0.0059,-0.1887,44.11,0.8512260188329532,-0.0534,negligible,False
newoutcome1_00004,mean_jump_deg,25,25,107.0072,109.582,-2.5748,-0.8063,47.11,0.4241197453319038,-0.2281,small,False
newoutcome1_00004,mean_jump_cos,25,25,70.5597,73.8114,-3.2518,-0.693,47.8,0.4916897328352774,-0.196,negligible,False
newoutcome1_00004,opposite_switch_rate,25,25,0.2123,0.207,0.0053,0.1919,48.0,0.8486616772391957,0.0543,negligible,False
newoutcome1_00005,mean_jump_deg,25,25,107.7838,105.7838,2.0,0.991,44.58,0.32701241257762925,0.2803,small,False
newoutcome1_00005,mean_jump_cos,25,25,70.891,68.9641,1.9269,0.6576,43.77,0.5142657268225628,0.186,negligible,False
newoutcome1_00005,opposite_switch_rate,25,25,0.2016,0.1763,0.0253,1.2758,44.7,0.2085994261722613,0.3609,small,False
newoutcome1_00006,mean_jump_deg,25,25,106.164,106.7351,-0.5712,-0.3232,47.44,0.7479807151629129,-0.0914,negligible,False
newoutcome1_00006,mean_jump_cos,25,25,70.2253,69.872,0.3533,0.1469,47.67,0.8838581127527017,0.0415,negligible,False
newoutcome1_00006,opposite_switch_rate,25,25,0.1884,0.1779,0.0105,0.7838,47.39,0.43708020389552127,0.2217,small,False
newoutcome1_00007,mean_jump_deg,25,25,107.4378,105.9297,1.5081,0.8531,47.99,0.3978489297156156,0.2413,small,False
newoutcome1_00007,mean_jump_cos,25,25,71.6076,69.0774,2.5302,1.0477,47.74,0.3000695556880847,0.2963,small,False
newoutcome1_00007,opposite_switch_rate,25,25,0.2061,0.1698,0.0363,2.1416,38.11,0.03868246815129198,0.6057,medium,True
newoutcome1_00008,mean_jump_deg,25,25,107.3622,108.0721,-0.7099,-0.2765,47.98,0.7833637167648316,-0.0782,negligible,False
newoutcome1_00008,mean_jump_cos,25,25,70.82,71.4256,-0.6056,-0.171,47.93,0.8649200255890566,-0.0484,negligible,False
newoutcome1_00008,opposite_switch_rate,25,25,0.197,0.1836,0.0134,0.6123,47.85,0.543260015454273,0.1732,negligible,False
newoutcome1_00009,mean_jump_deg,25,25,106.5513,106.4595,0.0919,0.0305,47.98,0.9757905364639321,0.0086,negligible,False
newoutcome1_00009,mean_jump_cos,25,25,69.6709,69.586,0.0849,0.0197,47.93,0.9843480783522542,0.0056,negligible,False
newoutcome1_00009,opposite_switch_rate,25,25,0.1749,0.1808,-0.0059,-0.1887,44.11,0.8512260188329532,-0.0534,negligible,False
newoutcome1_00010,mean_jump_deg,25,25,103.6775,104.6685,-0.991,-0.3538,47.15,0.7250463195571802,-0.1001,negligible,False
newoutcome1_00010,mean_jump_cos,25,25,66.2044,67.3622,-1.1578,-0.3058,47.71,0.7610853277008909,-0.0865,negligible,False
newoutcome1_00010,opposite_switch_rate,25,25,0.1694,0.1893,-0.0199,-0.8869,47.5,0.3796100721783463,-0.2508,small,False
newoutcome1_00011,mean_jump_deg,25,25,106.5892,106.7261,-0.1369,-0.0821,45.16,0.9349594502338866,-0.0232,negligible,False
newoutcome1_00011,mean_jump_cos,25,25,69.7381,69.8973,-0.1592,-0.067,44.94,0.9468405601125329,-0.019,negligible,False
newoutcome1_00011,opposite_switch_rate,25,25,0.1813,0.1859,-0.0045,-0.2813,46.3,0.779745538793051,-0.0796,negligible,False
newoutcome1_00012,mean_jump_deg,25,25,107.5045,105.2721,2.2324,1.2772,46.95,0.2077967924678105,0.3613,small,False
newoutcome1_00012,mean_jump_cos,25,25,71.4103,67.9261,3.4841,1.3701,44.62,0.17751304365031823,0.3875,small,False
newoutcome1_00012,opposite_switch_rate,25,25,0.1892,0.1745,0.0147,1.0957,46.91,0.27878452359211014,0.3099,small,False
newoutcome1_00013,mean_jump_deg,25,25,108.1676,105.0595,3.1081,2.0033,46.58,0.05098059101945667,0.5666,medium,False
newoutcome1_00013,mean_jump_cos,25,25,72.5929,67.8907,4.7022,2.0442,46.74,0.04659340455672233,0.5782,medium,True
newoutcome1_00013,opposite_switch_rate,25,25,0.2091,0.1822,0.0269,1.6761,46.51,0.10042351143680084,0.4741,small,False
