i,j,p_a_fwd,p_b_fwd,separation,fwd_favours,fdr
1,2,0.5222,0.1687,0.3535,Agent 1,0.0
1,6,0.6008,0.2385,0.3623,Agent 1,0.0
1,7,0.4443,0.7215,-0.2771,Agent 2,0.0
1,8,0.4197,0.7012,-0.2814,Agent 2,0.0
2,5,0.4843,0.7699,-0.2856,Agent 2,0.0
2,7,0.5794,0.1174,0.4619,Agent 1,0.0
2,8,0.6196,0.1146,0.505,Agent 1,0.0
3,5,0.4737,0.4795,-0.0058,Agent 2,0.031612
3,8,0.6605,0.5321,0.1283,Agent 1,0.0
4,8,0.5785,0.4429,0.1356,Agent 1,0.003955
5,6,0.3562,0.2077,0.1486,Agent 1,0.0
5,7,0.4914,0.7125,-0.221,Agent 2,0.0
5,8,0.4468,0.7423,-0.2955,Agent 2,0.0
6,7,0.266,0.1213,0.1446,Agent 1,0.0
6,8,0.6453,0.1167,0.5287,Agent 1,0.0
