run_tag,agent,csv,n_jumps,mean_jump_deg,variance_jump_deg2,std_jump_deg,mean_jump_cos,variance_jump_cos,std_jump_cos,opposite_switch_rate
newoutcome1_00000,a,simulation_a_sim0_round0.csv,999,99.0541,2314.2596,48.1068,60.5256,4375.436,66.1471,0.1471
newoutcome1_00000,a,simulation_a_sim0_round1.csv,999,102.7027,2403.2091,49.0225,65.9765,4595.3413,67.7889,0.1682
newoutcome1_00000,a,simulation_a_sim0_round10.csv,999,108.0631,2187.4018,46.7697,71.854,4390.8309,66.2633,0.1672
newoutcome1_00000,a,simulation_a_sim0_round11.csv,999,106.8018,2223.3034,47.1519,68.6458,4580.6798,67.6807,0.1842
newoutcome1_00000,a,simulation_a_sim0_round12.csv,999,111.8018,2657.0709,51.5468,80.0237,5150.2306,71.7651,0.2432
newoutcome1_00000,a,simulation_a_sim0_round13.csv,999,105.4054,2213.5379,47.0483,67.518,4446.5289,66.6823,0.1672
newoutcome1_00000,a,simulation_a_sim0_round14.csv,999,106.2162,2228.4542,47.2065,68.7522,4488.1791,66.9939,0.1722
newoutcome1_00000,a,simulation_a_sim0_round15.csv,999,105.1802,2246.8112,47.4005,67.5895,4476.8044,66.9089,0.1682
newoutcome1_00000,a,simulation_a_sim0_round16.csv,999,104.4144,2182.2469,46.7145,66.0788,4360.8846,66.037,0.1582
newoutcome1_00000,a,simulation_a_sim0_round17.csv,999,104.2342,2179.2978,46.6829,66.0766,4327.7033,65.7853,0.1542
newoutcome1_00000,a,simulation_a_sim0_round18.csv,999,109.2793,2265.7125,47.5995,71.5056,4800.4922,69.2856,0.2112
newoutcome1_00000,a,simulation_a_sim0_round19.csv,999,103.6486,1901.4285,43.6054,60.0974,4149.8875,64.4196,0.1582
newoutcome1_00000,a,simulation_a_sim0_round2.csv,999,102.7928,2185.8298,46.7529,63.3965,4367.1506,66.0844,0.1582
newoutcome1_00000,a,simulation_a_sim0_round20.csv,999,104.0541,2172.2255,46.6071,66.2736,4267.6085,65.3269,0.1471
newoutcome1_00000,a,simulation_a_sim0_round21.csv,999,104.4144,2551.5355,50.5127,67.5127,5024.4231,70.8832,0.2112
newoutcome1_00000,a,simulation_a_sim0_round22.csv,999,106.3514,2140.8574,46.2694,67.0895,4478.1407,66.9189,0.1772
newoutcome1_00000,a,simulation_a_sim0_round23.csv,999,104.0541,2367.0151,48.652,65.5137,4756.3179,68.9661,0.1922
newoutcome1_00000,a,simulation_a_sim0_round24.csv,999,117.5676,2526.3419,50.2627,87.7689,5010.4335,70.7844,0.2653
newoutcome1_00000,a,simulation_a_sim0_round3.csv,999,101.4414,2567.6095,50.6716,63.9768,4950.2356,70.3579,0.1982
newoutcome1_00000,a,simulation_a_sim0_round4.csv,999,108.6937,2561.8941,50.6152,74.808,4992.1204,70.6549,0.2172
newoutcome1_00000,a,simulation_a_sim0_round5.csv,999,112.4775,2763.0694,52.5649,80.5435,5440.8008,73.7618,0.2723
newoutcome1_00000,a,simulation_a_sim0_round6.csv,999,95.5856,1652.8882,40.6557,51.5811,3168.3662,56.2882,0.0661
newoutcome1_00000,a,simulation_a_sim0_round7.csv,999,101.8468,1959.5867,44.2672,61.8957,3871.9381,62.2249,0.1151
newoutcome1_00000,a,simulation_a_sim0_round8.csv,999,101.7117,2338.1493,48.3544,64.865,4415.1257,66.4464,0.1502
newoutcome1_00000,a,simulation_a_sim0_round9.csv,999,107.8378,2023.0258,44.9781,71.9062,3993.849,63.1969,0.1311
newoutcome1_00000,b,simulation_b_sim0_round0.csv,999,96.7117,1592.3577,39.9044,51.219,3189.3897,56.4747,0.0771
newoutcome1_00000,b,simulation_b_sim0_round1.csv,999,96.7117,1965.7044,44.3363,55.7451,3696.6253,60.7999,0.0961
newoutcome1_00000,b,simulation_b_sim0_round10.csv,999,105.0901,2643.1782,51.4118,70.1179,5073.3374,71.2274,0.2122
newoutcome1_00000,b,simulation_b_sim0_round11.csv,999,108.8739,2413.0843,49.1232,71.3318,5066.6955,71.1807,0.2322
newoutcome1_00000,b,simulation_b_sim0_round12.csv,999,111.8018,2316.1891,48.1268,75.8603,4893.0126,69.9501,0.2262
newoutcome1_00000,b,simulation_b_sim0_round13.csv,999,102.2973,2094.7923,45.7689,63.2843,4109.9744,64.1091,0.1331
newoutcome1_00000,b,simulation_b_sim0_round14.csv,999,107.5676,2389.7186,48.8847,72.0022,4729.9124,68.7744,0.1932
newoutcome1_00000,b,simulation_b_sim0_round15.csv,999,105.3153,2240.657,47.3356,68.1678,4429.6732,66.5558,0.1632
newoutcome1_00000,b,simulation_b_sim0_round16.csv,999,108.2883,2363.8507,48.6194,73.072,4682.3491,68.4277,0.1912
newoutcome1_00000,b,simulation_b_sim0_round17.csv,999,105.7207,2148.9289,46.3565,67.6187,4346.7882,65.9302,0.1602
newoutcome1_00000,b,simulation_b_sim0_round18.csv,999,111.5766,1800.4428,42.4316,73.6814,3976.4586,63.0592,0.1491
newoutcome1_00000,b,simulation_b_sim0_round19.csv,999,98.6486,1759.3945,41.9451,53.1567,3662.1292,60.5155,0.1191
newoutcome1_00000,b,simulation_b_sim0_round2.csv,999,99.3694,2087.2773,45.6867,59.9021,3975.9039,63.0548,0.1171
newoutcome1_00000,b,simulation_b_sim0_round20.csv,999,117.8829,2316.0795,48.1257,83.0815,5230.6395,72.3232,0.2863
newoutcome1_00000,b,simulation_b_sim0_round21.csv,999,116.7568,2270.1322,47.6459,84.5233,4717.2095,68.6819,0.2342
newoutcome1_00000,b,simulation_b_sim0_round22.csv,999,108.5586,1664.0023,40.7922,66.4568,3869.6265,62.2063,0.1401
newoutcome1_00000,b,simulation_b_sim0_round23.csv,999,122.0721,2350.7623,48.4847,86.7128,5749.7301,75.827,0.3574
newoutcome1_00000,b,simulation_b_sim0_round24.csv,999,111.3063,1787.6957,42.2812,73.2084,3950.13,62.8501,0.1461
newoutcome1_00000,b,simulation_b_sim0_round3.csv,999,102.0721,1988.6882,44.5947,64.0831,3780.7288,61.4876,0.1001
newoutcome1_00000,b,simulation_b_sim0_round4.csv,999,102.7027,2033.9205,45.099,63.3862,4027.6842,63.464,0.1281
newoutcome1_00000,b,simulation_b_sim0_round5.csv,999,104.5495,2273.6947,47.6833,67.7449,4424.0479,66.5135,0.1592
newoutcome1_00000,b,simulation_b_sim0_round6.csv,999,107.7477,2354.9423,48.5277,70.062,4880.2872,69.8591,0.2122
newoutcome1_00000,b,simulation_b_sim0_round7.csv,999,99.8198,1896.0096,43.5432,58.9313,3697.3565,60.8059,0.1001
newoutcome1_00000,b,simulation_b_sim0_round8.csv,999,108.6036,2256.8407,47.5062,70.1841,4799.3474,69.2773,0.2102
newoutcome1_00000,b,simulation_b_sim0_round9.csv,999,102.6577,1874.7685,43.2986,62.3517,3765.6303,61.3647,0.1091
newoutcome1_00001,a,simulation_a_sim0_round0.csv,999,103.4234,2286.9658,47.8222,66.3142,4418.2099,66.4696,0.1562
newoutcome1_00001,a,simulation_a_sim0_round1.csv,999,104.7748,2358.3911,48.5633,69.1881,4502.5698,67.1012,0.1632
newoutcome1_00001,a,simulation_a_sim0_round10.csv,999,99.1892,2074.392,45.5455,58.4303,4038.5202,63.5494,0.1281
newoutcome1_00001,a,simulation_a_sim0_round11.csv,999,112.027,2426.0223,49.2547,77.1537,5026.2814,70.8963,0.2372
newoutcome1_00001,a,simulation_a_sim0_round12.csv,999,103.3784,2326.7264,48.2362,63.9648,4706.617,68.6048,0.1892
newoutcome1_00001,a,simulation_a_sim0_round13.csv,999,100.5856,2129.9423,46.1513,60.1201,4210.3308,64.8871,0.1441
newoutcome1_00001,a,simulation_a_sim0_round14.csv,999,110.3604,2547.4652,50.4724,75.9359,5124.9022,71.5884,0.2372
newoutcome1_00001,a,simulation_a_sim0_round15.csv,999,100.5405,2019.2967,44.9366,60.6971,3919.8737,62.6089,0.1161
newoutcome1_00001,a,simulation_a_sim0_round16.csv,999,105.2703,2434.7966,49.3437,69.2754,4734.5918,68.8084,0.1862
newoutcome1_00001,a,simulation_a_sim0_round17.csv,999,119.7297,2641.7605,51.3981,88.5597,5610.3485,74.9023,0.3313
newoutcome1_00001,a,simulation_a_sim0_round18.csv,999,113.7387,1978.3174,44.4783,76.9484,4404.4282,66.3659,0.1942
newoutcome1_00001,a,simulation_a_sim0_round19.csv,999,109.1892,2325.9952,48.2286,72.1622,4847.7283,69.6256,0.2132
newoutcome1_00001,a,simulation_a_sim0_round2.csv,999,102.8829,2045.5384,45.2276,62.9009,4119.856,64.1861,0.1391
newoutcome1_00001,a,simulation_a_sim0_round20.csv,999,113.6937,2854.9802,53.432,82.1128,5676.7042,75.3439,0.2993
newoutcome1_00001,a,simulation_a_sim0_round21.csv,999,114.3694,2191.4356,46.8128,77.8686,4880.3202,69.8593,0.2382
newoutcome1_00001,a,simulation_a_sim0_round22.csv,999,104.8649,2554.5659,50.5427,67.1839,5129.884,71.6232,0.2242
newoutcome1_00001,a,simulation_a_sim0_round23.csv,999,119.4595,2625.3087,51.2378,88.0405,5586.8459,74.7452,0.3273
newoutcome1_00001,a,simulation_a_sim0_round24.csv,999,107.4775,2607.9592,51.0682,71.3798,5249.1911,72.4513,0.2392
newoutcome1_00001,a,simulation_a_sim0_round3.csv,999,110.9459,2663.2576,51.6068,78.6357,5172.1934,71.918,0.2412
newoutcome1_00001,a,simulation_a_sim0_round4.csv,999,103.1532,2111.5406,45.9515,65.4301,4080.7908,63.8811,0.1281
newoutcome1_00001,a,simulation_a_sim0_round5.csv,999,100.991,2050.1693,45.2788,61.3964,3990.5159,63.1705,0.1221
newoutcome1_00001,a,simulation_a_sim0_round6.csv,999,101.0811,2080.6437,45.6141,62.4932,3977.7575,63.0695,0.1171
newoutcome1_00001,a,simulation_a_sim0_round7.csv,999,121.6216,1742.3577,41.7416,86.4002,4377.9044,66.1657,0.2352
newoutcome1_00001,a,simulation_a_sim0_round8.csv,999,107.2523,2000.9844,44.7324,68.515,4186.8482,64.7059,0.1532
