run_tag,run_dir,agent,n_csvs,mean_jump_deg,mean_variance_deg2,std_deg,mean_jump_cos,mean_variance_cos,std_cos,mean_opposite_rate
newoutcome1_00000,newoutcome1_00000_2026-06-02_15-58-58,a,25,105.4252,2272.5105,47.6709,68.071,4515.1803,67.1951,0.176
newoutcome1_00000,newoutcome1_00000_2026-06-02_15-58-58,b,25,106.5081,2115.3245,45.9927,68.2354,4348.9867,65.9468,0.1701
newoutcome1_00001,newoutcome1_00001_2026-06-02_15-59-01,a,25,108.0234,2314.9895,48.1143,71.4866,4706.3999,68.6032,0.2019
newoutcome1_00001,newoutcome1_00001_2026-06-02_15-59-01,b,25,108.236,2235.5271,47.2814,71.5012,4554.8378,67.4895,0.1909
newoutcome1_00002,newoutcome1_00002_2026-06-02_15-59-04,a,25,106.8216,2300.908,47.9678,69.9949,4620.2926,67.9727,0.1927
newoutcome1_00002,newoutcome1_00002_2026-06-02_15-59-04,b,25,105.9009,2273.7702,47.6841,69.2926,4488.2416,66.9943,0.1813
newoutcome1_00003,newoutcome1_00003_2026-06-02_15-59-07,a,25,106.9964,2116.8658,46.0094,69.8986,4268.6181,65.3347,0.1749
newoutcome1_00003,newoutcome1_00003_2026-06-02_15-59-07,b,25,106.4595,2191.6899,46.8155,69.586,4382.6745,66.2018,0.1808
newoutcome1_00004,newoutcome1_00004_2026-06-02_15-59-10,a,25,107.0072,2360.1729,48.5816,70.5597,4701.4315,68.567,0.2123
newoutcome1_00004,newoutcome1_00004_2026-06-02_15-59-10,b,25,109.582,2208.2939,46.9925,73.8114,4507.1756,67.1355,0.207
newoutcome1_00005,newoutcome1_00005_2026-06-02_15-59-12,a,25,107.7838,2281.4552,47.7646,70.891,4644.5624,68.151,0.2016
newoutcome1_00005,newoutcome1_00005_2026-06-02_15-59-12,b,25,105.7838,2273.8086,47.6845,68.9641,4502.6643,67.1019,0.1763
newoutcome1_00006,newoutcome1_00006_2026-06-02_15-59-15,a,25,106.164,2367.6603,48.6586,70.2253,4650.3214,68.1933,0.1884
newoutcome1_00006,newoutcome1_00006_2026-06-02_15-59-15,b,25,106.7351,2237.1596,47.2986,69.872,4488.8378,66.9988,0.1779
newoutcome1_00007,newoutcome1_00007_2026-06-02_15-59-18,a,25,107.4378,2410.608,49.0979,71.6076,4801.1961,69.2907,0.206
newoutcome1_00007,newoutcome1_00007_2026-06-02_15-59-18,b,25,105.9297,2228.7912,47.2101,69.0774,4426.9783,66.5355,0.1698
newoutcome1_00008,newoutcome1_00008_2026-06-02_15-59-21,a,25,107.3622,2280.7887,47.7576,70.82,4599.597,67.8203,0.197
newoutcome1_00008,newoutcome1_00008_2026-06-02_15-59-21,b,25,108.0721,2171.0235,46.5942,71.4256,4422.965,66.5054,0.1836
newoutcome1_00009,newoutcome1_00009_2026-06-02_15-59-24,a,25,106.5514,2151.2538,46.3816,69.6709,4293.7035,65.5264,0.1749
newoutcome1_00009,newoutcome1_00009_2026-06-02_15-59-24,b,25,106.4595,2191.6899,46.8155,69.586,4382.6745,66.2018,0.1808
newoutcome1_00010,newoutcome1_00010_2026-06-02_15-59-27,a,25,103.6775,2243.5179,47.3658,66.2044,4362.0958,66.0462,0.1694
newoutcome1_00010,newoutcome1_00010_2026-06-02_15-59-27,b,25,104.6685,2292.2506,47.8775,67.3622,4589.5836,67.7465,0.1893
newoutcome1_00011,newoutcome1_00011_2026-06-02_15-59-30,a,25,106.5892,2254.8052,47.4848,69.7381,4513.0897,67.1795,0.1813
newoutcome1_00011,newoutcome1_00011_2026-06-02_15-59-30,b,25,106.7261,2290.5553,47.8597,69.8973,4595.5837,67.7907,0.1859
newoutcome1_00012,newoutcome1_00012_2026-06-02_15-59-32,a,25,107.5045,2308.6936,48.0489,71.4103,4616.439,67.9444,0.1892
newoutcome1_00012,newoutcome1_00012_2026-06-02_15-59-32,b,25,105.2721,2248.9861,47.4235,67.9262,4455.73,66.7513,0.1745
newoutcome1_00013,newoutcome1_00013_2026-06-02_15-59-35,a,25,108.1676,2410.0216,49.092,72.5929,4810.9895,69.3613,0.2091
newoutcome1_00013,newoutcome1_00013_2026-06-02_15-59-35,b,25,105.0595,2328.4546,48.2541,67.8907,4604.2028,67.8543,0.1822
newoutcome1_00014,newoutcome1_00014_2026-06-02_15-59-38,a,25,109.0919,2374.9464,48.7334,74.0174,4760.856,68.999,0.2108
newoutcome1_00014,newoutcome1_00014_2026-06-02_15-59-38,b,25,104.5261,2352.1921,48.4994,67.3082,4649.2845,68.1857,0.1846
newoutcome1_00015,newoutcome1_00015_2026-06-02_15-59-41,a,25,106.1694,2325.7717,48.2263,69.904,4583.162,67.6991,0.192
newoutcome1_00015,newoutcome1_00015_2026-06-02_15-59-41,b,25,109.6126,2324.7852,48.216,74.74,4663.6766,68.2911,0.2103
newoutcome1_00016,newoutcome1_00016_2026-06-02_15-59-44,a,25,106.0793,2439.6048,49.3924,70.8372,4795.3385,69.2484,0.21
newoutcome1_00016,newoutcome1_00016_2026-06-02_15-59-44,b,25,104.6523,2393.4594,48.923,68.6749,4595.3216,67.7888,0.1916
newoutcome1_00017,newoutcome1_00017_2026-06-02_15-59-47,a,25,107.2036,2328.0955,48.2503,71.4708,4631.7686,68.0571,0.1924
newoutcome1_00017,newoutcome1_00017_2026-06-02_15-59-47,b,25,106.0901,2334.6017,48.3177,69.6666,4614.3263,67.9288,0.1827
newoutcome1_00018,newoutcome1_00018_2026-06-02_15-59-49,a,25,108.4577,2469.17,49.6907,73.2997,4907.1133,70.0508,0.2216
newoutcome1_00018,newoutcome1_00018_2026-06-02_15-59-49,b,25,107.6613,2251.8541,47.4537,71.1602,4532.7301,67.3256,0.1897
newoutcome1_00019,newoutcome1_00019_2026-06-02_15-59-52,a,25,104.5748,2351.4851,48.4921,68.3635,4554.2816,67.4854,0.1767
newoutcome1_00019,newoutcome1_00019_2026-06-02_15-59-52,b,25,106.1514,2321.2526,48.1794,69.5803,4616.8584,67.9475,0.1843
newoutcome1_00020,newoutcome1_00020_2026-06-02_15-59-55,a,25,106.0252,2269.165,47.6358,69.2658,4505.959,67.1264,0.1845
newoutcome1_00020,newoutcome1_00020_2026-06-02_15-59-55,b,25,106.0378,2347.1798,48.4477,69.9562,4614.8715,67.9328,0.188
newoutcome1_00021,newoutcome1_00021_2026-06-02_15-59-58,a,25,105.6631,2150.966,46.3785,68.5765,4286.1721,65.4689,0.1747
newoutcome1_00021,newoutcome1_00021_2026-06-02_15-59-58,b,25,106.4595,2191.6899,46.8155,69.586,4382.6745,66.2018,0.1808
newoutcome1_00022,newoutcome1_00022_2026-06-02_16-00-01,a,25,105.7676,2466.9445,49.6683,70.1802,4792.1013,69.225,0.1991
newoutcome1_00022,newoutcome1_00022_2026-06-02_16-00-01,b,25,106.8108,2521.6106,50.2156,71.6839,4922.7791,70.1625,0.2227
newoutcome1_00023,newoutcome1_00023_2026-06-02_16-00-04,a,25,105.7532,2326.8735,48.2377,69.4309,4576.4293,67.6493,0.1793
newoutcome1_00023,newoutcome1_00023_2026-06-02_16-00-04,b,25,106.3027,2366.3523,48.6452,70.0449,4676.1503,68.3824,0.1906
newoutcome1_00024,newoutcome1_00024_2026-06-02_16-00-07,a,25,108.1081,2360.5749,48.5857,71.9252,4768.9233,69.0574,0.2108
newoutcome1_00024,newoutcome1_00024_2026-06-02_16-00-07,b,25,107.6523,2342.0867,48.3951,71.6703,4676.589,68.3856,0.1978
newoutcome1_00025,newoutcome1_00025_2026-06-02_16-00-10,a,25,106.1964,2336.0789,48.333,69.7144,4624.0244,68.0002,0.1871
newoutcome1_00025,newoutcome1_00025_2026-06-02_16-00-10,b,25,107.191,2273.9066,47.6855,70.3538,4582.4097,67.6935,0.186
newoutcome1_00026,newoutcome1_00026_2026-06-02_16-00-13,a,25,107.7333,2306.0161,48.021,71.2329,4657.4246,68.2453,0.1991
