active_motive_steps,n_simulations,total_active_steps,motive_1_prop,motive_2_prop,motive_3_prop,motive_4_prop,motive_5_prop,motive_6_prop,motive_7_prop,motive_8_prop
50,1,50,0.18,0.18,0.16,0.14,0.08,0.06,0.08,0.12
50,5,250,0.18,0.18,0.168,0.128,0.08,0.06,0.08,0.124
50,10,500,0.18,0.182,0.17,0.124,0.08,0.058,0.08,0.126
100,1,100,0.17,0.19,0.17,0.13,0.08,0.06,0.08,0.12
100,5,500,0.17,0.186,0.17,0.126,0.08,0.06,0.08,0.128
100,10,1000,0.171,0.188,0.17,0.126,0.079,0.059,0.079,0.128
500,1,500,0.17,0.188,0.17,0.126,0.08,0.06,0.08,0.126
500,5,2500,0.1704,0.1892,0.1708,0.1256,0.0788,0.06,0.0792,0.126
500,10,5000,0.1706,0.1896,0.171,0.1256,0.079,0.059,0.0792,0.126
1000,1,1000,0.171,0.189,0.171,0.126,0.079,0.059,0.079,0.126
1000,5,5000,0.171,0.1894,0.1706,0.1258,0.079,0.059,0.079,0.1262
1000,10,10000,0.171,0.1898,0.1707,0.1259,0.0789,0.0587,0.0789,0.1261
