step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.20223,0.41615,-0.95883,0.93982,0.66489,-0.57532,-0.63635,-0.63319
1,3,0.32223,0.60715,0.04117,1.0,0.78489,-0.52632,-0.61635,-0.58419
2,3,0.44223,0.79815,1.0,1.0,0.90489,-0.47732,-0.59635,-0.53519
3,7,0.56223,0.84715,1.0,1.0,1.0,-0.28632,0.40365,-0.34419
4,7,0.68223,0.89615,1.0,1.0,1.0,-0.09532,1.0,-0.15319
5,8,0.87323,1.0,1.0,1.0,1.0,0.02468,1.0,0.84681
6,8,1.0,1.0,1.0,1.0,1.0,0.14468,1.0,1.0
7,,0.92,0.92,0.92,0.92,0.92,0.06468,0.92,0.92
8,,0.84,0.84,0.84,0.84,0.84,-0.01532,0.84,0.84
9,6,0.889,0.86,0.889,0.96,1.0,0.98468,1.0,0.96
10,6,0.938,0.88,0.938,1.0,1.0,1.0,1.0,1.0
11,,0.858,0.8,0.858,0.92,0.92,0.92,0.92,0.92
12,,0.778,0.72,0.778,0.84,0.84,0.84,0.84,0.84
13,,0.698,0.64,0.698,0.76,0.76,0.76,0.76,0.76
14,,0.618,0.56,0.618,0.68,0.68,0.68,0.68,0.68
15,,0.538,0.48,0.538,0.6,0.6,0.6,0.6,0.6
16,,0.458,0.4,0.458,0.52,0.52,0.52,0.52,0.52
17,,0.378,0.32,0.378,0.44,0.44,0.44,0.44,0.44
18,,0.298,0.24,0.298,0.36,0.36,0.36,0.36,0.36
19,,0.218,0.16,0.218,0.28,0.28,0.28,0.28,0.28
20,,0.138,0.08,0.138,0.2,0.2,0.2,0.2,0.2
21,,0.058,0.0,0.058,0.12,0.12,0.12,0.12,0.12
22,,-0.022,-0.08,-0.022,0.04,0.04,0.04,0.04,0.04
23,2,0.169,0.92,0.169,0.16,0.089,0.06,0.089,0.16
24,2,0.36,1.0,0.36,0.28,0.138,0.08,0.138,0.28
25,,0.28,0.92,0.28,0.2,0.058,0.0,0.058,0.2
26,,0.2,0.84,0.2,0.12,-0.022,-0.08,-0.022,0.12
27,6,0.249,0.86,0.249,0.24,0.169,0.92,0.169,0.24
28,6,0.298,0.88,0.298,0.36,0.36,1.0,0.36,0.36
29,,0.218,0.8,0.218,0.28,0.28,0.92,0.28,0.28
30,,0.138,0.72,0.138,0.2,0.2,0.84,0.2,0.2
31,,0.058,0.64,0.058,0.12,0.12,0.76,0.12,0.12
32,,-0.022,0.56,-0.022,0.04,0.04,0.68,0.04,0.04
33,1,0.978,0.751,0.098,0.089,0.06,0.729,0.16,0.231
34,1,1.0,0.942,0.218,0.138,0.08,0.778,0.28,0.422
35,,0.92,0.862,0.138,0.058,0.0,0.698,0.2,0.342
36,,0.84,0.782,0.058,-0.022,-0.08,0.618,0.12,0.262
37,5,0.86,0.831,0.178,0.169,0.92,0.809,0.24,0.311
38,5,0.88,0.88,0.298,0.36,1.0,1.0,0.36,0.36
39,,0.8,0.8,0.218,0.28,0.92,0.92,0.28,0.28
40,,0.72,0.72,0.138,0.2,0.84,0.84,0.2,0.2
41,,0.64,0.64,0.058,0.12,0.76,0.76,0.12,0.12
42,,0.56,0.56,-0.022,0.04,0.68,0.68,0.04,0.04
43,3,0.68,0.751,0.978,0.231,0.8,0.729,0.06,0.089
44,3,0.8,0.942,1.0,0.422,0.92,0.778,0.08,0.138
45,,0.72,0.862,0.92,0.342,0.84,0.698,0.0,0.058
46,,0.64,0.782,0.84,0.262,0.76,0.618,-0.08,-0.022
47,7,0.76,0.831,0.86,0.311,0.88,0.809,0.92,0.169
48,7,0.88,0.88,0.88,0.36,1.0,1.0,1.0,0.36
49,,0.8,0.8,0.8,0.28,0.92,0.92,0.92,0.28
50,,0.72,0.72,0.72,0.2,0.84,0.84,0.84,0.2
51,,0.64,0.64,0.64,0.12,0.76,0.76,0.76,0.12
52,,0.56,0.56,0.56,0.04,0.68,0.68,0.68,0.04
53,,0.48,0.48,0.48,-0.04,0.6,0.6,0.6,-0.04
54,4,0.529,0.6,0.671,0.96,0.791,0.72,0.649,-0.02
55,4,0.578,0.72,0.862,1.0,0.982,0.84,0.698,0.0
56,,0.498,0.64,0.782,0.92,0.902,0.76,0.618,-0.08
57,8,0.689,0.76,0.831,0.94,0.951,0.88,0.809,0.92
58,8,0.88,0.88,0.88,0.96,1.0,1.0,1.0,1.0
59,,0.8,0.8,0.8,0.88,0.92,0.92,0.92,0.92
60,,0.72,0.72,0.72,0.8,0.84,0.84,0.84,0.84
61,,0.64,0.64,0.64,0.72,0.76,0.76,0.76,0.76
62,,0.56,0.56,0.56,0.64,0.68,0.68,0.68,0.68
63,,0.48,0.48,0.48,0.56,0.6,0.6,0.6,0.6
64,,0.4,0.4,0.4,0.48,0.52,0.52,0.52,0.52
65,,0.32,0.32,0.32,0.4,0.44,0.44,0.44,0.44
66,,0.24,0.24,0.24,0.32,0.36,0.36,0.36,0.36
67,,0.16,0.16,0.16,0.24,0.28,0.28,0.28,0.28
68,,0.08,0.08,0.08,0.16,0.2,0.2,0.2,0.2
69,,0.0,0.0,0.0,0.08,0.12,0.12,0.12,0.12
70,,-0.08,-0.08,-0.08,0.0,0.04,0.04,0.04,0.04
71,1,0.92,0.111,0.04,0.049,0.06,0.089,0.16,0.231
72,1,1.0,0.302,0.16,0.098,0.08,0.138,0.28,0.422
73,,0.92,0.222,0.08,0.018,0.0,0.058,0.2,0.342
74,,0.84,0.142,0.0,-0.062,-0.08,-0.022,0.12,0.262
75,5,0.86,0.191,0.12,0.129,0.92,0.169,0.24,0.311
76,5,0.88,0.24,0.24,0.32,1.0,0.36,0.36,0.36
77,,0.8,0.16,0.16,0.24,0.92,0.28,0.28,0.28
78,,0.72,0.08,0.08,0.16,0.84,0.2,0.2,0.2
79,,0.64,0.0,0.0,0.08,0.76,0.12,0.12,0.12
80,,0.56,-0.08,-0.08,0.0,0.68,0.04,0.04,0.04
81,2,0.751,0.92,0.111,0.12,0.729,0.06,0.089,0.16
82,2,0.942,1.0,0.302,0.24,0.778,0.08,0.138,0.28
83,,0.862,0.92,0.222,0.16,0.698,0.0,0.058,0.2
84,,0.782,0.84,0.142,0.08,0.618,-0.08,-0.022,0.12
85,6,0.831,0.86,0.191,0.2,0.809,0.92,0.169,0.24
86,6,0.88,0.88,0.24,0.32,1.0,1.0,0.36,0.36
87,,0.8,0.8,0.16,0.24,0.92,0.92,0.28,0.28
88,,0.72,0.72,0.08,0.16,0.84,0.84,0.2,0.2
89,,0.64,0.64,0.0,0.08,0.76,0.76,0.12,0.12
90,,0.56,0.56,-0.08,0.0,0.68,0.68,0.04,0.04
91,3,0.68,0.751,0.92,0.191,0.8,0.729,0.06,0.089
92,3,0.8,0.942,1.0,0.382,0.92,0.778,0.08,0.138
93,,0.72,0.862,0.92,0.302,0.84,0.698,0.0,0.058
94,,0.64,0.782,0.84,0.222,0.76,0.618,-0.08,-0.022
95,7,0.76,0.831,0.86,0.271,0.88,0.809,0.92,0.169
96,7,0.88,0.88,0.88,0.32,1.0,1.0,1.0,0.36
97,,0.8,0.8,0.8,0.24,0.92,0.92,0.92,0.28
98,,0.72,0.72,0.72,0.16,0.84,0.84,0.84,0.2
99,,0.64,0.64,0.64,0.08,0.76,0.76,0.76,0.12
100,,0.56,0.56,0.56,0.0,0.68,0.68,0.68,0.04
101,,0.48,0.48,0.48,-0.08,0.6,0.6,0.6,-0.04
102,4,0.529,0.6,0.671,0.92,0.791,0.72,0.649,-0.02
103,4,0.578,0.72,0.862,1.0,0.982,0.84,0.698,0.0
104,,0.498,0.64,0.782,0.92,0.902,0.76,0.618,-0.08
105,8,0.689,0.76,0.831,0.94,0.951,0.88,0.809,0.92
106,8,0.88,0.88,0.88,0.96,1.0,1.0,1.0,1.0
107,,0.8,0.8,0.8,0.88,0.92,0.92,0.92,0.92
108,,0.72,0.72,0.72,0.8,0.84,0.84,0.84,0.84
109,,0.64,0.64,0.64,0.72,0.76,0.76,0.76,0.76
110,,0.56,0.56,0.56,0.64,0.68,0.68,0.68,0.68
111,,0.48,0.48,0.48,0.56,0.6,0.6,0.6,0.6
112,,0.4,0.4,0.4,0.48,0.52,0.52,0.52,0.52
113,,0.32,0.32,0.32,0.4,0.44,0.44,0.44,0.44
114,,0.24,0.24,0.24,0.32,0.36,0.36,0.36,0.36
115,,0.16,0.16,0.16,0.24,0.28,0.28,0.28,0.28
116,,0.08,0.08,0.08,0.16,0.2,0.2,0.2,0.2
117,,0.0,0.0,0.0,0.08,0.12,0.12,0.12,0.12
118,,-0.08,-0.08,-0.08,0.0,0.04,0.04,0.04,0.04
119,1,0.92,0.111,0.04,0.049,0.06,0.089,0.16,0.231
120,1,1.0,0.302,0.16,0.098,0.08,0.138,0.28,0.422
121,,0.92,0.222,0.08,0.018,0.0,0.058,0.2,0.342
122,,0.84,0.142,0.0,-0.062,-0.08,-0.022,0.12,0.262
123,5,0.86,0.191,0.12,0.129,0.92,0.169,0.24,0.311
124,5,0.88,0.24,0.24,0.32,1.0,0.36,0.36,0.36
125,,0.8,0.16,0.16,0.24,0.92,0.28,0.28,0.28
126,,0.72,0.08,0.08,0.16,0.84,0.2,0.2,0.2
127,,0.64,0.0,0.0,0.08,0.76,0.12,0.12,0.12
128,,0.56,-0.08,-0.08,0.0,0.68,0.04,0.04,0.04
129,2,0.751,0.92,0.111,0.12,0.729,0.06,0.089,0.16
130,2,0.942,1.0,0.302,0.24,0.778,0.08,0.138,0.28
131,,0.862,0.92,0.222,0.16,0.698,0.0,0.058,0.2
132,,0.782,0.84,0.142,0.08,0.618,-0.08,-0.022,0.12
133,6,0.831,0.86,0.191,0.2,0.809,0.92,0.169,0.24
134,6,0.88,0.88,0.24,0.32,1.0,1.0,0.36,0.36
135,,0.8,0.8,0.16,0.24,0.92,0.92,0.28,0.28
136,,0.72,0.72,0.08,0.16,0.84,0.84,0.2,0.2
137,,0.64,0.64,0.0,0.08,0.76,0.76,0.12,0.12
138,,0.56,0.56,-0.08,0.0,0.68,0.68,0.04,0.04
139,3,0.68,0.751,0.92,0.191,0.8,0.729,0.06,0.089
140,3,0.8,0.942,1.0,0.382,0.92,0.778,0.08,0.138
141,,0.72,0.862,0.92,0.302,0.84,0.698,0.0,0.058
142,,0.64,0.782,0.84,0.222,0.76,0.618,-0.08,-0.022
143,7,0.76,0.831,0.86,0.271,0.88,0.809,0.92,0.169
144,7,0.88,0.88,0.88,0.32,1.0,1.0,1.0,0.36
145,,0.8,0.8,0.8,0.24,0.92,0.92,0.92,0.28
146,,0.72,0.72,0.72,0.16,0.84,0.84,0.84,0.2
147,,0.64,0.64,0.64,0.08,0.76,0.76,0.76,0.12
148,,0.56,0.56,0.56,0.0,0.68,0.68,0.68,0.04
149,,0.48,0.48,0.48,-0.08,0.6,0.6,0.6,-0.04
150,4,0.529,0.6,0.671,0.92,0.791,0.72,0.649,-0.02
151,4,0.578,0.72,0.862,1.0,0.982,0.84,0.698,0.0
152,,0.498,0.64,0.782,0.92,0.902,0.76,0.618,-0.08
153,8,0.689,0.76,0.831,0.94,0.951,0.88,0.809,0.92
154,8,0.88,0.88,0.88,0.96,1.0,1.0,1.0,1.0
155,,0.8,0.8,0.8,0.88,0.92,0.92,0.92,0.92
156,,0.72,0.72,0.72,0.8,0.84,0.84,0.84,0.84
157,,0.64,0.64,0.64,0.72,0.76,0.76,0.76,0.76
158,,0.56,0.56,0.56,0.64,0.68,0.68,0.68,0.68
159,,0.48,0.48,0.48,0.56,0.6,0.6,0.6,0.6
160,,0.4,0.4,0.4,0.48,0.52,0.52,0.52,0.52
161,,0.32,0.32,0.32,0.4,0.44,0.44,0.44,0.44
162,,0.24,0.24,0.24,0.32,0.36,0.36,0.36,0.36
163,,0.16,0.16,0.16,0.24,0.28,0.28,0.28,0.28
164,,0.08,0.08,0.08,0.16,0.2,0.2,0.2,0.2
165,,0.0,0.0,0.0,0.08,0.12,0.12,0.12,0.12
166,,-0.08,-0.08,-0.08,0.0,0.04,0.04,0.04,0.04
167,1,0.92,0.111,0.04,0.049,0.06,0.089,0.16,0.231
168,1,1.0,0.302,0.16,0.098,0.08,0.138,0.28,0.422
169,,0.92,0.222,0.08,0.018,0.0,0.058,0.2,0.342
170,,0.84,0.142,0.0,-0.062,-0.08,-0.022,0.12,0.262
171,5,0.86,0.191,0.12,0.129,0.92,0.169,0.24,0.311
172,5,0.88,0.24,0.24,0.32,1.0,0.36,0.36,0.36
173,,0.8,0.16,0.16,0.24,0.92,0.28,0.28,0.28
174,,0.72,0.08,0.08,0.16,0.84,0.2,0.2,0.2
175,,0.64,0.0,0.0,0.08,0.76,0.12,0.12,0.12
176,,0.56,-0.08,-0.08,0.0,0.68,0.04,0.04,0.04
