step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.23338,0.42997,0.34015,0.22525,0.00663,0.4711,0.28164,0.19271
1,,0.21338,0.40997,0.32015,0.20525,-0.01337,0.4511,0.26164,0.17271
2,5,0.09338,0.34897,0.40015,0.42625,0.98663,0.6721,0.34164,0.11171
3,5,-0.02662,0.28797,0.48015,0.64725,1.0,0.8931,0.42164,0.05071
4,1,0.97338,0.50897,0.56015,0.58625,0.88,0.8321,0.50164,0.27171
5,1,1.0,0.72997,0.64015,0.52525,0.76,0.7711,0.58164,0.49271
6,,0.98,0.70997,0.62015,0.50525,0.74,0.7511,0.56164,0.47271
7,,0.96,0.68997,0.60015,0.48525,0.72,0.7311,0.54164,0.45271
8,,0.94,0.66997,0.58015,0.46525,0.7,0.7111,0.52164,0.43271
9,,0.92,0.64997,0.56015,0.44525,0.68,0.6911,0.50164,0.41271
10,,0.9,0.62997,0.54015,0.42525,0.66,0.6711,0.48164,0.39271
11,,0.88,0.60997,0.52015,0.40525,0.64,0.6511,0.46164,0.37271
12,,0.86,0.58997,0.50015,0.38525,0.62,0.6311,0.44164,0.35271
13,,0.84,0.56997,0.48015,0.36525,0.6,0.6111,0.42164,0.33271
14,,0.82,0.54997,0.46015,0.34525,0.58,0.5911,0.40164,0.31271
15,,0.8,0.52997,0.44015,0.32525,0.56,0.5711,0.38164,0.29271
16,,0.78,0.50997,0.42015,0.30525,0.54,0.5511,0.36164,0.27271
17,,0.76,0.48997,0.40015,0.28525,0.52,0.5311,0.34164,0.25271
18,,0.74,0.46997,0.38015,0.26525,0.5,0.5111,0.32164,0.23271
19,,0.72,0.44997,0.36015,0.24525,0.48,0.4911,0.30164,0.21271
20,,0.7,0.42997,0.34015,0.22525,0.46,0.4711,0.28164,0.19271
21,,0.68,0.40997,0.32015,0.20525,0.44,0.4511,0.26164,0.17271
22,,0.66,0.38997,0.30015,0.18525,0.42,0.4311,0.24164,0.15271
23,,0.64,0.36997,0.28015,0.16525,0.4,0.4111,0.22164,0.13271
24,,0.62,0.34997,0.26015,0.14525,0.38,0.3911,0.20164,0.11271
25,,0.6,0.32997,0.24015,0.12525,0.36,0.3711,0.18164,0.09271
26,,0.58,0.30997,0.22015,0.10525,0.34,0.3511,0.16164,0.07271
