step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.37064,0.8128,0.94725,0.986,0.75338,0.37626,0.0835,0.77715
1,,0.29864,0.7403,0.88725,0.9315,0.69888,0.32226,0.0235,0.70465
2,,0.22664,0.6678,0.82725,0.877,0.64438,0.26826,-0.0365,0.63215
3,7,0.15464,0.5953,0.76725,0.8225,0.58988,0.21426,1.0,0.55965
4,,0.08264,0.5228,0.70725,0.768,0.53538,0.16026,0.94,0.48715
5,,0.01064,0.4503,0.64725,0.7135,0.48088,0.10626,0.88,0.41465
6,,-0.06136,0.3778,0.58725,0.659,0.42638,0.05226,0.82,0.34215
7,1,1.0,0.1553,0.52725,0.6045,0.37188,-0.00174,0.76,0.26965
8,6,0.928,0.0828,0.46725,0.55,0.31738,1.0,0.7,0.19715
9,,0.856,0.0103,0.40725,0.4955,0.26288,0.946,0.64,0.12465
10,,0.784,-0.0622,0.34725,0.441,0.20838,0.892,0.58,0.05215
11,2,0.712,1.0,0.28725,0.3865,0.15388,0.838,0.52,-0.02035
12,8,0.64,0.9275,0.22725,0.332,0.09938,0.784,0.46,1.0
13,,0.568,0.855,0.16725,0.2775,0.04488,0.73,0.4,0.9275
14,,0.496,0.7825,0.10725,0.223,-0.00962,0.676,0.34,0.855
15,5,0.424,0.71,0.04725,0.1685,1.0,0.622,0.28,0.7825
16,,0.352,0.6375,-0.01275,0.114,0.9455,0.568,0.22,0.71
17,3,0.28,0.565,1.0,0.0595,0.891,0.514,0.16,0.6375
18,,0.208,0.4925,0.94,0.005,0.8365,0.46,0.1,0.565
19,,0.136,0.42,0.88,-0.0495,0.782,0.406,0.04,0.4925
20,4,0.064,0.3475,0.82,1.0,0.7275,0.352,-0.02,0.42
21,7,-0.008,0.275,0.76,0.9455,0.673,0.298,1.0,0.3475
22,1,1.0,0.0525,0.7,0.891,0.6185,0.244,0.94,0.275
23,,0.928,-0.02,0.64,0.8365,0.564,0.19,0.88,0.2025
24,2,0.856,1.0,0.58,0.782,0.5095,0.136,0.82,0.13
25,,0.784,0.9275,0.52,0.7275,0.455,0.082,0.76,0.0575
26,,0.712,0.855,0.46,0.673,0.4005,0.028,0.7,-0.015
27,8,0.64,0.7825,0.4,0.6185,0.346,-0.026,0.64,1.0
28,6,0.568,0.71,0.34,0.564,0.2915,1.0,0.58,0.9275
29,,0.496,0.6375,0.28,0.5095,0.237,0.946,0.52,0.855
30,,0.424,0.565,0.22,0.455,0.1825,0.892,0.46,0.7825
31,,0.352,0.4925,0.16,0.4005,0.128,0.838,0.4,0.71
32,,0.28,0.42,0.1,0.346,0.0735,0.784,0.34,0.6375
33,,0.208,0.3475,0.04,0.2915,0.019,0.73,0.28,0.565
34,,0.136,0.275,-0.02,0.237,-0.0355,0.676,0.22,0.4925
35,5,0.064,0.2025,-0.08,0.1825,1.0,0.622,0.16,0.42
36,3,-0.008,0.13,1.0,0.128,0.9455,0.568,0.1,0.3475
37,1,1.0,-0.0925,0.94,0.0735,0.891,0.514,0.04,0.275
38,2,0.928,1.0,0.88,0.019,0.8365,0.46,-0.02,0.2025
39,7,0.856,0.9275,0.82,-0.0355,0.782,0.406,1.0,0.13
40,4,0.784,0.855,0.76,1.0,0.7275,0.352,0.94,0.0575
41,,0.712,0.7825,0.7,0.9455,0.673,0.298,0.88,-0.015
42,8,0.64,0.71,0.64,0.891,0.6185,0.244,0.82,1.0
43,,0.568,0.6375,0.58,0.8365,0.564,0.19,0.76,0.9275
44,,0.496,0.565,0.52,0.782,0.5095,0.136,0.7,0.855
45,,0.424,0.4925,0.46,0.7275,0.455,0.082,0.64,0.7825
46,,0.352,0.42,0.4,0.673,0.4005,0.028,0.58,0.71
47,,0.28,0.3475,0.34,0.6185,0.346,-0.026,0.52,0.6375
48,6,0.208,0.275,0.28,0.564,0.2915,1.0,0.46,0.565
49,,0.136,0.2025,0.22,0.5095,0.237,0.946,0.4,0.4925
50,,0.064,0.13,0.16,0.455,0.1825,0.892,0.34,0.42
51,,-0.008,0.0575,0.1,0.4005,0.128,0.838,0.28,0.3475
52,1,1.0,-0.165,0.04,0.346,0.0735,0.784,0.22,0.275
53,2,0.928,1.0,-0.02,0.2915,0.019,0.73,0.16,0.2025
54,3,0.856,0.9275,1.0,0.237,-0.0355,0.676,0.1,0.13
55,5,0.784,0.855,0.94,0.1825,1.0,0.622,0.04,0.0575
56,,0.712,0.7825,0.88,0.128,0.9455,0.568,-0.02,-0.015
57,7,0.64,0.71,0.82,0.0735,0.891,0.514,1.0,-0.0875
58,8,0.568,0.6375,0.76,0.019,0.8365,0.46,0.94,1.0
59,,0.496,0.565,0.7,-0.0355,0.782,0.406,0.88,0.9275
60,4,0.424,0.4925,0.64,1.0,0.7275,0.352,0.82,0.855
61,,0.352,0.42,0.58,0.9455,0.673,0.298,0.76,0.7825
62,,0.28,0.3475,0.52,0.891,0.6185,0.244,0.7,0.71
63,,0.208,0.275,0.46,0.8365,0.564,0.19,0.64,0.6375
64,,0.136,0.2025,0.4,0.782,0.5095,0.136,0.58,0.565
65,,0.064,0.13,0.34,0.7275,0.455,0.082,0.52,0.4925
66,,-0.008,0.0575,0.28,0.673,0.4005,0.028,0.46,0.42
67,1,1.0,-0.165,0.22,0.6185,0.346,-0.026,0.4,0.3475
68,2,0.928,1.0,0.16,0.564,0.2915,-0.08,0.34,0.275
69,6,0.856,0.9275,0.1,0.5095,0.237,1.0,0.28,0.2025
70,,0.784,0.855,0.04,0.455,0.1825,0.946,0.22,0.13
71,,0.712,0.7825,-0.02,0.4005,0.128,0.892,0.16,0.0575
72,3,0.64,0.71,1.0,0.346,0.0735,0.838,0.1,-0.015
73,8,0.568,0.6375,0.94,0.2915,0.019,0.784,0.04,1.0
74,,0.496,0.565,0.88,0.237,-0.0355,0.73,-0.02,0.9275
75,5,0.424,0.4925,0.82,0.1825,1.0,0.676,-0.08,0.855
76,7,0.352,0.42,0.76,0.128,0.9455,0.622,1.0,0.7825
77,,0.28,0.3475,0.7,0.0735,0.891,0.568,0.94,0.71
78,,0.208,0.275,0.64,0.019,0.8365,0.514,0.88,0.6375
79,,0.136,0.2025,0.58,-0.0355,0.782,0.46,0.82,0.565
80,4,0.064,0.13,0.52,1.0,0.7275,0.406,0.76,0.4925
81,,-0.008,0.0575,0.46,0.9455,0.673,0.352,0.7,0.42
82,1,1.0,-0.165,0.4,0.891,0.6185,0.298,0.64,0.3475
83,2,0.928,1.0,0.34,0.8365,0.564,0.244,0.58,0.275
84,,0.856,0.9275,0.28,0.782,0.5095,0.19,0.52,0.2025
85,,0.784,0.855,0.22,0.7275,0.455,0.136,0.46,0.13
86,,0.712,0.7825,0.16,0.673,0.4005,0.082,0.4,0.0575
87,,0.64,0.71,0.1,0.6185,0.346,0.028,0.34,-0.015
88,8,0.568,0.6375,0.04,0.564,0.2915,-0.026,0.28,1.0
89,6,0.496,0.565,-0.02,0.5095,0.237,1.0,0.22,0.9275
90,3,0.424,0.4925,1.0,0.455,0.1825,0.946,0.16,0.855
91,,0.352,0.42,0.94,0.4005,0.128,0.892,0.1,0.7825
92,,0.28,0.3475,0.88,0.346,0.0735,0.838,0.04,0.71
93,,0.208,0.275,0.82,0.2915,0.019,0.784,-0.02,0.6375
94,7,0.136,0.2025,0.76,0.237,-0.0355,0.73,1.0,0.565
95,5,0.064,0.13,0.7,0.1825,1.0,0.676,0.94,0.4925
96,,-0.008,0.0575,0.64,0.128,0.9455,0.622,0.88,0.42
97,1,1.0,-0.165,0.58,0.0735,0.891,0.568,0.82,0.3475
98,2,0.928,1.0,0.52,0.019,0.8365,0.514,0.76,0.275
99,,0.856,0.9275,0.46,-0.0355,0.782,0.46,0.7,0.2025
100,4,0.784,0.855,0.4,1.0,0.7275,0.406,0.64,0.13
101,,0.712,0.7825,0.34,0.9455,0.673,0.352,0.58,0.0575
102,,0.64,0.71,0.28,0.891,0.6185,0.298,0.52,-0.015
103,8,0.568,0.6375,0.22,0.8365,0.564,0.244,0.46,1.0
104,,0.496,0.565,0.16,0.782,0.5095,0.19,0.4,0.9275
105,,0.424,0.4925,0.1,0.7275,0.455,0.136,0.34,0.855
106,,0.352,0.42,0.04,0.673,0.4005,0.082,0.28,0.7825
107,,0.28,0.3475,-0.02,0.6185,0.346,0.028,0.22,0.71
108,3,0.208,0.275,1.0,0.564,0.2915,-0.026,0.16,0.6375
109,6,0.136,0.2025,0.94,0.5095,0.237,1.0,0.1,0.565
110,,0.064,0.13,0.88,0.455,0.1825,0.946,0.04,0.4925
111,,-0.008,0.0575,0.82,0.4005,0.128,0.892,-0.02,0.42
