step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.7146,0.6602,0.27993,0.95487,0.7379,0.55435,0.61172,0.4196
1,,0.6326,0.5782,0.24233,0.92567,0.7171,0.52515,0.57452,0.3376
2,,0.5506,0.4962,0.20473,0.89647,0.6963,0.49595,0.53732,0.2556
3,,0.4686,0.4142,0.16713,0.86727,0.6755,0.46675,0.50012,0.1736
4,,0.3866,0.3322,0.12953,0.83807,0.6547,0.43755,0.46292,0.0916
5,,0.3046,0.2502,0.09193,0.80887,0.6339,0.40835,0.42572,0.0096
6,,0.2226,0.1682,0.05433,0.77967,0.6131,0.37915,0.38852,-0.0724
7,8,0.1406,0.0862,0.01673,0.75047,0.5923,0.34995,0.35132,1.0
8,,0.0586,0.0042,-0.02087,0.72127,0.5715,0.32075,0.31412,0.918
9,3,-0.0234,-0.0778,1.0,0.69207,0.5507,0.29155,0.27692,0.836
10,2,-0.2554,1.0,0.9624,0.66287,0.5299,0.26235,0.23972,0.754
11,1,1.0,0.768,0.9248,0.63367,0.5091,0.23315,0.20252,0.672
12,,0.918,0.686,0.8872,0.60447,0.4883,0.20395,0.16532,0.59
13,,0.836,0.604,0.8496,0.57527,0.4675,0.17475,0.12812,0.508
14,,0.754,0.522,0.812,0.54607,0.4467,0.14555,0.09092,0.426
15,,0.672,0.44,0.7744,0.51687,0.4259,0.11635,0.05372,0.344
16,,0.59,0.358,0.7368,0.48767,0.4051,0.08715,0.01652,0.262
17,,0.508,0.276,0.6992,0.45847,0.3843,0.05795,-0.02068,0.18
18,7,0.426,0.194,0.6616,0.42927,0.3635,0.02875,1.0,0.098
19,,0.344,0.112,0.624,0.40007,0.3427,-0.00045,0.9628,0.016
20,6,0.262,0.03,0.5864,0.37087,0.3219,1.0,0.9256,-0.066
21,8,0.18,-0.052,0.5488,0.34167,0.3011,0.9708,0.8884,1.0
22,2,-0.052,1.0,0.5112,0.31247,0.2803,0.9416,0.8512,0.918
23,1,1.0,0.768,0.4736,0.28327,0.2595,0.9124,0.814,0.836
24,,0.918,0.686,0.436,0.25407,0.2387,0.8832,0.7768,0.754
25,,0.836,0.604,0.3984,0.22487,0.2179,0.854,0.7396,0.672
26,,0.754,0.522,0.3608,0.19567,0.1971,0.8248,0.7024,0.59
27,,0.672,0.44,0.3232,0.16647,0.1763,0.7956,0.6652,0.508
28,,0.59,0.358,0.2856,0.13727,0.1555,0.7664,0.628,0.426
29,,0.508,0.276,0.248,0.10807,0.1347,0.7372,0.5908,0.344
30,,0.426,0.194,0.2104,0.07887,0.1139,0.708,0.5536,0.262
31,,0.344,0.112,0.1728,0.04967,0.0931,0.6788,0.5164,0.18
32,,0.262,0.03,0.1352,0.02047,0.0723,0.6496,0.4792,0.098
33,,0.18,-0.052,0.0976,-0.00873,0.0515,0.6204,0.442,0.016
34,2,-0.052,1.0,0.06,-0.03793,0.0307,0.5912,0.4048,-0.066
35,8,-0.134,0.918,0.0224,-0.06713,0.0099,0.562,0.3676,1.0
36,1,1.0,0.686,-0.0152,-0.09633,-0.0109,0.5328,0.3304,0.918
37,4,0.918,0.604,-0.0528,1.0,-0.0317,0.5036,0.2932,0.836
38,3,0.836,0.522,1.0,0.9708,-0.0525,0.4744,0.256,0.754
39,5,0.754,0.44,0.9624,0.9416,1.0,0.4452,0.2188,0.672
40,,0.672,0.358,0.9248,0.9124,0.9792,0.416,0.1816,0.59
41,,0.59,0.276,0.8872,0.8832,0.9584,0.3868,0.1444,0.508
42,,0.508,0.194,0.8496,0.854,0.9376,0.3576,0.1072,0.426
43,,0.426,0.112,0.812,0.8248,0.9168,0.3284,0.07,0.344
44,,0.344,0.03,0.7744,0.7956,0.896,0.2992,0.0328,0.262
45,,0.262,-0.052,0.7368,0.7664,0.8752,0.27,-0.0044,0.18
46,2,0.03,1.0,0.6992,0.7372,0.8544,0.2408,-0.0416,0.098
47,7,-0.052,0.918,0.6616,0.708,0.8336,0.2116,1.0,0.016
48,1,1.0,0.686,0.624,0.6788,0.8128,0.1824,0.9628,-0.066
49,8,0.918,0.604,0.5864,0.6496,0.792,0.1532,0.9256,1.0
50,,0.836,0.522,0.5488,0.6204,0.7712,0.124,0.8884,0.918
51,,0.754,0.44,0.5112,0.5912,0.7504,0.0948,0.8512,0.836
52,,0.672,0.358,0.4736,0.562,0.7296,0.0656,0.814,0.754
53,,0.59,0.276,0.436,0.5328,0.7088,0.0364,0.7768,0.672
54,,0.508,0.194,0.3984,0.5036,0.688,0.0072,0.7396,0.59
55,,0.426,0.112,0.3608,0.4744,0.6672,-0.022,0.7024,0.508
56,6,0.344,0.03,0.3232,0.4452,0.6464,1.0,0.6652,0.426
57,,0.262,-0.052,0.2856,0.416,0.6256,0.9708,0.628,0.344
58,2,0.03,1.0,0.248,0.3868,0.6048,0.9416,0.5908,0.262
59,,-0.052,0.918,0.2104,0.3576,0.584,0.9124,0.5536,0.18
60,1,1.0,0.686,0.1728,0.3284,0.5632,0.8832,0.5164,0.098
61,,0.918,0.604,0.1352,0.2992,0.5424,0.854,0.4792,0.016
62,,0.836,0.522,0.0976,0.27,0.5216,0.8248,0.442,-0.066
63,8,0.754,0.44,0.06,0.2408,0.5008,0.7956,0.4048,1.0
64,,0.672,0.358,0.0224,0.2116,0.48,0.7664,0.3676,0.918
65,,0.59,0.276,-0.0152,0.1824,0.4592,0.7372,0.3304,0.836
