step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.49442,0.05756,0.54953,0.44153,0.8877,0.35092,0.11707,0.14299
1,,0.43942,0.01056,0.49503,0.38203,0.8052,0.29092,0.03507,0.08349
2,,0.38442,-0.03644,0.44053,0.32253,0.7227,0.23092,-0.04693,0.02399
3,7,0.32942,-0.08344,0.38603,0.26303,0.6402,0.17092,1.0,-0.03551
4,2,0.27442,1.0,0.33153,0.20353,0.5577,0.11092,0.918,-0.09501
5,8,0.21942,0.953,0.27703,0.14403,0.4752,0.05092,0.836,1.0
6,,0.16442,0.906,0.22253,0.08453,0.3927,-0.00908,0.754,0.9405
7,6,0.10942,0.859,0.16803,0.02503,0.3102,1.0,0.672,0.881
8,,0.05442,0.812,0.11353,-0.03447,0.2277,0.94,0.59,0.8215
9,4,-0.00058,0.765,0.05903,1.0,0.1452,0.88,0.508,0.762
10,1,1.0,0.718,0.00453,0.9405,-0.0873,0.82,0.426,0.7025
11,5,0.945,0.671,-0.04997,0.881,1.0,0.76,0.344,0.643
12,3,0.89,0.624,1.0,0.8215,0.9175,0.7,0.262,0.5835
13,,0.835,0.577,0.9455,0.762,0.835,0.64,0.18,0.524
14,,0.78,0.53,0.891,0.7025,0.7525,0.58,0.098,0.4645
15,,0.725,0.483,0.8365,0.643,0.67,0.52,0.016,0.405
16,,0.67,0.436,0.782,0.5835,0.5875,0.46,-0.066,0.3455
17,7,0.615,0.389,0.7275,0.524,0.505,0.4,1.0,0.286
18,,0.56,0.342,0.673,0.4645,0.4225,0.34,0.918,0.2265
19,,0.505,0.295,0.6185,0.405,0.34,0.28,0.836,0.167
20,,0.45,0.248,0.564,0.3455,0.2575,0.22,0.754,0.1075
21,,0.395,0.201,0.5095,0.286,0.175,0.16,0.672,0.048
22,,0.34,0.154,0.455,0.2265,0.0925,0.1,0.59,-0.0115
23,8,0.285,0.107,0.4005,0.167,0.01,0.04,0.508,1.0
24,,0.23,0.06,0.346,0.1075,-0.0725,-0.02,0.426,0.9405
25,5,0.175,0.013,0.2915,0.048,1.0,-0.08,0.344,0.881
26,6,0.12,-0.034,0.237,-0.0115,0.9175,1.0,0.262,0.8215
27,2,0.065,1.0,0.1825,-0.071,0.835,0.94,0.18,0.762
28,4,0.01,0.953,0.128,1.0,0.7525,0.88,0.098,0.7025
29,,-0.045,0.906,0.0735,0.9405,0.67,0.82,0.016,0.643
30,1,1.0,0.859,0.019,0.881,0.4375,0.76,-0.066,0.5835
31,7,0.945,0.812,-0.0355,0.8215,0.355,0.7,1.0,0.524
32,3,0.89,0.765,1.0,0.762,0.2725,0.64,0.918,0.4645
33,,0.835,0.718,0.9455,0.7025,0.19,0.58,0.836,0.405
34,,0.78,0.671,0.891,0.643,0.1075,0.52,0.754,0.3455
35,,0.725,0.624,0.8365,0.5835,0.025,0.46,0.672,0.286
36,,0.67,0.577,0.782,0.524,-0.0575,0.4,0.59,0.2265
37,5,0.615,0.53,0.7275,0.4645,1.0,0.34,0.508,0.167
38,,0.56,0.483,0.673,0.405,0.9175,0.28,0.426,0.1075
39,,0.505,0.436,0.6185,0.3455,0.835,0.22,0.344,0.048
40,,0.45,0.389,0.564,0.286,0.7525,0.16,0.262,-0.0115
41,8,0.395,0.342,0.5095,0.2265,0.67,0.1,0.18,1.0
42,,0.34,0.295,0.455,0.167,0.5875,0.04,0.098,0.9405
43,,0.285,0.248,0.4005,0.1075,0.505,-0.02,0.016,0.881
44,6,0.23,0.201,0.346,0.048,0.4225,1.0,-0.066,0.8215
45,7,0.175,0.154,0.2915,-0.0115,0.34,0.94,1.0,0.762
46,4,0.12,0.107,0.237,1.0,0.2575,0.88,0.918,0.7025
47,,0.065,0.06,0.1825,0.9405,0.175,0.82,0.836,0.643
48,,0.01,0.013,0.128,0.881,0.0925,0.76,0.754,0.5835
49,,-0.045,-0.034,0.0735,0.8215,0.01,0.7,0.672,0.524
50,1,1.0,-0.081,0.019,0.762,-0.2225,0.64,0.59,0.4645
51,5,0.945,-0.128,-0.0355,0.7025,1.0,0.58,0.508,0.405
52,2,0.89,1.0,-0.09,0.643,0.9175,0.52,0.426,0.3455
53,3,0.835,0.953,1.0,0.5835,0.835,0.46,0.344,0.286
54,,0.78,0.906,0.9455,0.524,0.7525,0.4,0.262,0.2265
55,,0.725,0.859,0.891,0.4645,0.67,0.34,0.18,0.167
56,,0.67,0.812,0.8365,0.405,0.5875,0.28,0.098,0.1075
57,,0.615,0.765,0.782,0.3455,0.505,0.22,0.016,0.048
58,,0.56,0.718,0.7275,0.286,0.4225,0.16,-0.066,-0.0115
59,7,0.505,0.671,0.673,0.2265,0.34,0.1,1.0,-0.071
60,8,0.45,0.624,0.6185,0.167,0.2575,0.04,0.918,1.0
61,,0.395,0.577,0.564,0.1075,0.175,-0.02,0.836,0.9405
62,6,0.34,0.53,0.5095,0.048,0.0925,1.0,0.754,0.881
63,,0.285,0.483,0.455,-0.0115,0.01,0.94,0.672,0.8215
64,4,0.23,0.436,0.4005,1.0,-0.0725,0.88,0.59,0.762
65,5,0.175,0.389,0.346,0.9405,1.0,0.82,0.508,0.7025
66,,0.12,0.342,0.2915,0.881,0.9175,0.76,0.426,0.643
67,,0.065,0.295,0.237,0.8215,0.835,0.7,0.344,0.5835
68,,0.01,0.248,0.1825,0.762,0.7525,0.64,0.262,0.524
69,,-0.045,0.201,0.128,0.7025,0.67,0.58,0.18,0.4645
70,1,1.0,0.154,0.0735,0.643,0.4375,0.52,0.098,0.405
71,,0.945,0.107,0.019,0.5835,0.355,0.46,0.016,0.3455
72,,0.89,0.06,-0.0355,0.524,0.2725,0.4,-0.066,0.286
73,7,0.835,0.013,-0.09,0.4645,0.19,0.34,1.0,0.2265
74,3,0.78,-0.034,1.0,0.405,0.1075,0.28,0.918,0.167
75,2,0.725,1.0,0.9455,0.3455,0.025,0.22,0.836,0.1075
76,,0.67,0.953,0.891,0.286,-0.0575,0.16,0.754,0.048
77,5,0.615,0.906,0.8365,0.2265,1.0,0.1,0.672,-0.0115
78,8,0.56,0.859,0.782,0.167,0.9175,0.04,0.59,1.0
79,,0.505,0.812,0.7275,0.1075,0.835,-0.02,0.508,0.9405
80,6,0.45,0.765,0.673,0.048,0.7525,1.0,0.426,0.881
81,,0.395,0.718,0.6185,-0.0115,0.67,0.94,0.344,0.8215
82,4,0.34,0.671,0.564,1.0,0.5875,0.88,0.262,0.762
83,,0.285,0.624,0.5095,0.9405,0.505,0.82,0.18,0.7025
84,,0.23,0.577,0.455,0.881,0.4225,0.76,0.098,0.643
85,,0.175,0.53,0.4005,0.8215,0.34,0.7,0.016,0.5835
86,,0.12,0.483,0.346,0.762,0.2575,0.64,-0.066,0.524
87,7,0.065,0.436,0.2915,0.7025,0.175,0.58,1.0,0.4645
88,,0.01,0.389,0.237,0.643,0.0925,0.52,0.918,0.405
89,,-0.045,0.342,0.1825,0.5835,0.01,0.46,0.836,0.3455
90,1,1.0,0.295,0.128,0.524,-0.2225,0.4,0.754,0.286
91,5,0.945,0.248,0.0735,0.4645,1.0,0.34,0.672,0.2265
92,,0.89,0.201,0.019,0.405,0.9175,0.28,0.59,0.167
93,,0.835,0.154,-0.0355,0.3455,0.835,0.22,0.508,0.1075
94,3,0.78,0.107,1.0,0.286,0.7525,0.16,0.426,0.048
95,,0.725,0.06,0.9455,0.2265,0.67,0.1,0.344,-0.0115
96,8,0.67,0.013,0.891,0.167,0.5875,0.04,0.262,1.0
97,,0.615,-0.034,0.8365,0.1075,0.505,-0.02,0.18,0.9405
98,2,0.56,1.0,0.782,0.048,0.4225,-0.08,0.098,0.881
99,6,0.505,0.953,0.7275,-0.0115,0.34,1.0,0.016,0.8215
100,4,0.45,0.906,0.673,1.0,0.2575,0.94,-0.066,0.762
101,7,0.395,0.859,0.6185,0.9405,0.175,0.88,1.0,0.7025
102,,0.34,0.812,0.564,0.881,0.0925,0.82,0.918,0.643
103,,0.285,0.765,0.5095,0.8215,0.01,0.76,0.836,0.5835
104,,0.23,0.718,0.455,0.762,-0.0725,0.7,0.754,0.524
105,5,0.175,0.671,0.4005,0.7025,1.0,0.64,0.672,0.4645
106,,0.12,0.624,0.346,0.643,0.9175,0.58,0.59,0.405
107,,0.065,0.577,0.2915,0.5835,0.835,0.52,0.508,0.3455
108,,0.01,0.53,0.237,0.524,0.7525,0.46,0.426,0.286
109,,-0.045,0.483,0.1825,0.4645,0.67,0.4,0.344,0.2265
110,1,1.0,0.436,0.128,0.405,0.4375,0.34,0.262,0.167
111,,0.945,0.389,0.0735,0.3455,0.355,0.28,0.18,0.1075
112,,0.89,0.342,0.019,0.286,0.2725,0.22,0.098,0.048
113,,0.835,0.295,-0.0355,0.2265,0.19,0.16,0.016,-0.0115
114,3,0.78,0.248,1.0,0.167,0.1075,0.1,-0.066,-0.071
115,8,0.725,0.201,0.9455,0.1075,0.025,0.04,-0.148,1.0
116,7,0.67,0.154,0.891,0.048,-0.0575,-0.02,1.0,0.9405
117,5,0.615,0.107,0.8365,-0.0115,1.0,-0.08,0.918,0.881
118,6,0.56,0.06,0.782,-0.071,0.9175,1.0,0.836,0.8215
119,4,0.505,0.013,0.7275,1.0,0.835,0.94,0.754,0.762
120,,0.45,-0.034,0.673,0.9405,0.7525,0.88,0.672,0.7025
121,2,0.395,1.0,0.6185,0.881,0.67,0.82,0.59,0.643
122,,0.34,0.953,0.564,0.8215,0.5875,0.76,0.508,0.5835
