step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.21273,0.94619,0.7813,0.11346,0.93093,0.97425,0.99593,0.05587
1,,0.15523,0.89669,0.7238,0.05646,0.84393,0.90725,0.92893,-0.00163
2,8,0.09773,0.84719,0.6663,-0.00054,0.75693,0.84025,0.86193,1.0
3,4,0.04023,0.79769,0.6088,1.0,0.66993,0.77325,0.79493,0.9425
4,,-0.01727,0.74819,0.5513,0.943,0.58293,0.70625,0.72793,0.885
5,1,1.0,0.69869,0.3438,0.886,0.49593,0.63925,0.66093,0.8275
6,,0.9425,0.64919,0.2863,0.829,0.40893,0.57225,0.59393,0.77
7,,0.885,0.59969,0.2288,0.772,0.32193,0.50525,0.52693,0.7125
8,,0.8275,0.55019,0.1713,0.715,0.23493,0.43825,0.45993,0.655
9,,0.77,0.50069,0.1138,0.658,0.14793,0.37125,0.39293,0.5975
10,,0.7125,0.45119,0.0563,0.601,0.06093,0.30425,0.32593,0.54
11,,0.655,0.40169,-0.0012,0.544,-0.02607,0.23725,0.25893,0.4825
12,5,0.5975,0.35219,-0.0587,0.487,1.0,0.17025,0.19193,0.425
13,3,0.54,0.30269,1.0,0.43,0.913,0.10325,0.12493,0.3675
14,,0.4825,0.25319,0.9425,0.373,0.826,0.03625,0.05793,0.31
15,,0.425,0.20369,0.885,0.316,0.739,-0.03075,-0.00907,0.2525
16,6,0.3675,0.15419,0.8275,0.259,0.652,1.0,-0.07607,0.195
17,7,0.31,0.10469,0.77,0.202,0.565,0.933,1.0,0.1375
18,,0.2525,0.05519,0.7125,0.145,0.478,0.866,0.933,0.08
19,,0.195,0.00569,0.655,0.088,0.391,0.799,0.866,0.0225
20,,0.1375,-0.04381,0.5975,0.031,0.304,0.732,0.799,-0.035
21,2,0.08,1.0,0.54,-0.026,0.217,0.665,0.732,-0.0925
22,8,0.0225,0.9505,0.4825,-0.083,0.13,0.598,0.665,1.0
23,4,-0.035,0.901,0.425,1.0,0.043,0.531,0.598,0.9425
24,1,1.0,0.8515,0.2175,0.943,-0.044,0.464,0.531,0.885
25,5,0.9425,0.802,0.16,0.886,1.0,0.397,0.464,0.8275
26,,0.885,0.7525,0.1025,0.829,0.913,0.33,0.397,0.77
27,,0.8275,0.703,0.045,0.772,0.826,0.263,0.33,0.7125
28,,0.77,0.6535,-0.0125,0.715,0.739,0.196,0.263,0.655
29,3,0.7125,0.604,1.0,0.658,0.652,0.129,0.196,0.5975
30,,0.655,0.5545,0.9425,0.601,0.565,0.062,0.129,0.54
31,,0.5975,0.505,0.885,0.544,0.478,-0.005,0.062,0.4825
32,6,0.54,0.4555,0.8275,0.487,0.391,1.0,-0.005,0.425
33,7,0.4825,0.406,0.77,0.43,0.304,0.933,1.0,0.3675
34,,0.425,0.3565,0.7125,0.373,0.217,0.866,0.933,0.31
35,,0.3675,0.307,0.655,0.316,0.13,0.799,0.866,0.2525
36,,0.31,0.2575,0.5975,0.259,0.043,0.732,0.799,0.195
37,,0.2525,0.208,0.54,0.202,-0.044,0.665,0.732,0.1375
38,5,0.195,0.1585,0.4825,0.145,1.0,0.598,0.665,0.08
39,,0.1375,0.109,0.425,0.088,0.913,0.531,0.598,0.0225
40,,0.08,0.0595,0.3675,0.031,0.826,0.464,0.531,-0.035
41,8,0.0225,0.01,0.31,-0.026,0.739,0.397,0.464,1.0
42,4,-0.035,-0.0395,0.2525,1.0,0.652,0.33,0.397,0.9425
43,2,-0.0925,1.0,0.195,0.943,0.565,0.263,0.33,0.885
44,1,1.0,0.9505,-0.0125,0.886,0.478,0.196,0.263,0.8275
45,3,0.9425,0.901,1.0,0.829,0.391,0.129,0.196,0.77
46,,0.885,0.8515,0.9425,0.772,0.304,0.062,0.129,0.7125
47,,0.8275,0.802,0.885,0.715,0.217,-0.005,0.062,0.655
48,6,0.77,0.7525,0.8275,0.658,0.13,1.0,-0.005,0.5975
49,7,0.7125,0.703,0.77,0.601,0.043,0.933,1.0,0.54
50,,0.655,0.6535,0.7125,0.544,-0.044,0.866,0.933,0.4825
51,5,0.5975,0.604,0.655,0.487,1.0,0.799,0.866,0.425
52,,0.54,0.5545,0.5975,0.43,0.913,0.732,0.799,0.3675
53,,0.4825,0.505,0.54,0.373,0.826,0.665,0.732,0.31
54,,0.425,0.4555,0.4825,0.316,0.739,0.598,0.665,0.2525
55,,0.3675,0.406,0.425,0.259,0.652,0.531,0.598,0.195
56,,0.31,0.3565,0.3675,0.202,0.565,0.464,0.531,0.1375
57,,0.2525,0.307,0.31,0.145,0.478,0.397,0.464,0.08
58,,0.195,0.2575,0.2525,0.088,0.391,0.33,0.397,0.0225
59,,0.1375,0.208,0.195,0.031,0.304,0.263,0.33,-0.035
60,8,0.08,0.1585,0.1375,-0.026,0.217,0.196,0.263,1.0
61,4,0.0225,0.109,0.08,1.0,0.13,0.129,0.196,0.9425
62,,-0.035,0.0595,0.0225,0.943,0.043,0.062,0.129,0.885
63,1,1.0,0.01,-0.185,0.886,-0.044,-0.005,0.062,0.8275
64,3,0.9425,-0.0395,1.0,0.829,-0.131,-0.072,-0.005,0.77
65,5,0.885,-0.089,0.9425,0.772,1.0,-0.139,-0.072,0.7125
66,6,0.8275,-0.1385,0.885,0.715,0.913,1.0,-0.139,0.655
