step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,-0.25092,0.90143,0.46399,0.19732,-0.68796,-0.68801,-0.88383,0.73235
1,7,-0.22592,0.91211,0.45399,0.17264,-0.71296,-0.69869,1.0,0.75703
2,5,-0.21092,0.92279,0.45399,0.16196,1.0,-0.70937,1.0,0.76771
3,6,-0.19292,0.93047,0.44699,0.14428,0.982,1.0,1.0,0.78539
4,1,1.0,0.95515,0.44699,0.1196,0.757,0.97532,1.0,0.81007
5,,0.975,0.92283,0.39699,0.05192,0.682,0.90764,0.95,0.77775
6,,0.95,0.89051,0.34699,-0.01576,0.607,0.83996,0.9,0.74543
7,4,0.968,0.90819,0.35399,1.0,0.589,0.82228,0.893,0.75311
8,,0.943,0.87587,0.30399,0.93232,0.514,0.7546,0.843,0.72079
9,,0.918,0.84355,0.25399,0.86464,0.439,0.68692,0.793,0.68847
10,,0.893,0.81123,0.20399,0.79696,0.364,0.61924,0.743,0.65615
11,,0.868,0.77891,0.15399,0.72928,0.289,0.55156,0.693,0.62383
12,,0.843,0.74659,0.10399,0.6616,0.214,0.48388,0.643,0.59151
13,,0.818,0.71427,0.05399,0.59392,0.139,0.4162,0.593,0.55919
14,,0.793,0.68195,0.00399,0.52624,0.064,0.34852,0.543,0.52687
15,,0.768,0.64963,-0.04601,0.45856,-0.011,0.28084,0.493,0.49455
16,3,0.793,0.67431,1.0,0.44788,-0.036,0.25616,0.483,0.50523
17,5,0.808,0.68499,1.0,0.4372,1.0,0.24548,0.483,0.51591
18,,0.783,0.65267,0.95,0.36952,0.925,0.1778,0.433,0.48359
19,,0.758,0.62035,0.9,0.30184,0.85,0.11012,0.383,0.45127
20,,0.733,0.58803,0.85,0.23416,0.775,0.04244,0.333,0.41895
21,,0.708,0.55571,0.8,0.16648,0.7,-0.02524,0.283,0.38663
22,6,0.726,0.56339,0.793,0.1488,0.682,1.0,0.29,0.40431
23,,0.701,0.53107,0.743,0.08112,0.607,0.93232,0.24,0.37199
24,,0.676,0.49875,0.693,0.01344,0.532,0.86464,0.19,0.33967
25,,0.651,0.46643,0.643,-0.05424,0.457,0.79696,0.14,0.30735
26,4,0.669,0.48411,0.65,1.0,0.439,0.77928,0.133,0.31503
27,,0.644,0.45179,0.6,0.93232,0.364,0.7116,0.083,0.28271
28,,0.619,0.41947,0.55,0.86464,0.289,0.64392,0.033,0.25039
29,,0.594,0.38715,0.5,0.79696,0.214,0.57624,-0.017,0.21807
30,7,0.619,0.39783,0.49,0.77228,0.189,0.56556,1.0,0.24275
31,,0.594,0.36551,0.44,0.7046,0.114,0.49788,0.95,0.21043
32,,0.569,0.33319,0.39,0.63692,0.039,0.4302,0.9,0.17811
33,,0.544,0.30087,0.34,0.56924,-0.036,0.36252,0.85,0.14579
34,5,0.559,0.31155,0.34,0.55856,1.0,0.35184,0.85,0.15647
35,,0.534,0.27923,0.29,0.49088,0.925,0.28416,0.8,0.12415
36,,0.509,0.24691,0.24,0.4232,0.85,0.21648,0.75,0.09183
37,,0.484,0.21459,0.19,0.35552,0.775,0.1488,0.7,0.05951
38,,0.459,0.18227,0.14,0.28784,0.7,0.08112,0.65,0.02719
39,,0.434,0.14995,0.09,0.22016,0.625,0.01344,0.6,-0.00513
40,8,0.466,0.16763,0.083,0.19248,0.593,-0.00424,0.607,1.0
41,6,0.484,0.17531,0.076,0.1748,0.575,1.0,0.614,1.0
42,,0.459,0.14299,0.026,0.10712,0.5,0.93232,0.564,0.96768
43,,0.434,0.11067,-0.024,0.03944,0.425,0.86464,0.514,0.93536
44,3,0.459,0.13535,1.0,0.02876,0.4,0.83996,0.504,0.94604
45,,0.434,0.10303,0.95,-0.03892,0.325,0.77228,0.454,0.91372
46,4,0.452,0.12071,0.957,1.0,0.307,0.7546,0.447,0.9214
47,,0.427,0.08839,0.907,0.93232,0.232,0.68692,0.397,0.88908
48,,0.402,0.05607,0.857,0.86464,0.157,0.61924,0.347,0.85676
49,,0.377,0.02375,0.807,0.79696,0.082,0.55156,0.297,0.82444
50,,0.352,-0.00857,0.757,0.72928,0.007,0.48388,0.247,0.79212
51,2,0.384,1.0,0.764,0.7116,-0.025,0.4562,0.24,0.8098
52,5,0.399,1.0,0.764,0.70092,1.0,0.44552,0.24,0.82048
53,,0.374,0.96768,0.714,0.63324,0.925,0.37784,0.19,0.78816
54,,0.349,0.93536,0.664,0.56556,0.85,0.31016,0.14,0.75584
55,,0.324,0.90304,0.614,0.49788,0.775,0.24248,0.09,0.72352
56,,0.299,0.87072,0.564,0.4302,0.7,0.1748,0.04,0.6912
57,,0.274,0.8384,0.514,0.36252,0.625,0.10712,-0.01,0.65888
58,7,0.299,0.84908,0.504,0.33784,0.6,0.09644,1.0,0.68356
59,,0.274,0.81676,0.454,0.27016,0.525,0.02876,0.95,0.65124
60,,0.249,0.78444,0.404,0.20248,0.45,-0.03892,0.9,0.61892
61,6,0.267,0.79212,0.397,0.1848,0.432,1.0,0.907,0.6366
62,,0.242,0.7598,0.347,0.11712,0.357,0.93232,0.857,0.60428
63,,0.217,0.72748,0.297,0.04944,0.282,0.86464,0.807,0.57196
64,,0.192,0.69516,0.247,-0.01824,0.207,0.79696,0.757,0.53964
65,4,0.21,0.71284,0.254,1.0,0.189,0.77928,0.75,0.54732
66,,0.185,0.68052,0.204,0.93232,0.114,0.7116,0.7,0.515
67,,0.16,0.6482,0.154,0.86464,0.039,0.64392,0.65,0.48268
68,,0.135,0.61588,0.104,0.79696,-0.036,0.57624,0.6,0.45036
69,5,0.15,0.62656,0.104,0.78628,1.0,0.56556,0.6,0.46104
70,,0.125,0.59424,0.054,0.7186,0.925,0.49788,0.55,0.42872
71,,0.1,0.56192,0.004,0.65092,0.85,0.4302,0.5,0.3964
72,,0.075,0.5296,-0.046,0.58324,0.775,0.36252,0.45,0.36408
73,3,0.1,0.55428,1.0,0.57256,0.75,0.33784,0.44,0.37476
74,,0.075,0.52196,0.95,0.50488,0.675,0.27016,0.39,0.34244
