step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,-0.25092,0.90143,0.46399,0.19732,-0.68796,-0.68801,-0.88383,0.73235
1,7,-0.25092,0.89075,0.43899,0.16164,-0.72296,-0.71333,1.0,0.73203
2,5,-0.25092,0.88007,0.41399,0.12596,1.0,-0.89565,0.99,0.73171
3,6,-0.25792,0.86239,0.38199,0.08328,0.957,1.0,0.972,0.72439
4,1,1.0,0.88771,0.39199,0.0836,0.957,1.0,0.997,0.76007
5,,0.95,0.82003,0.31699,0.01592,0.907,0.96768,0.972,0.72775
6,,0.9,0.75235,0.24199,-0.05176,0.857,0.93536,0.947,0.69543
7,4,0.918,0.75967,0.23499,1.0,0.839,0.92804,0.954,0.71311
8,,0.868,0.69199,0.15999,0.93232,0.789,0.89572,0.929,0.68079
9,,0.818,0.62431,0.08499,0.86464,0.739,0.8634,0.904,0.64847
10,,0.768,0.55663,0.00999,0.79696,0.689,0.83108,0.879,0.61615
11,,0.718,0.48895,-0.06501,0.72928,0.639,0.79876,0.854,0.58383
12,3,0.753,0.51427,1.0,0.7296,0.639,0.80944,0.879,0.61951
13,,0.703,0.44659,0.925,0.66192,0.589,0.77712,0.854,0.58719
14,,0.653,0.37891,0.85,0.59424,0.539,0.7448,0.829,0.55487
15,,0.603,0.31123,0.775,0.52656,0.489,0.71248,0.804,0.52255
16,,0.553,0.24355,0.7,0.45888,0.439,0.68016,0.779,0.49023
17,,0.503,0.17587,0.625,0.3912,0.389,0.64784,0.754,0.45791
18,,0.453,0.10819,0.55,0.32352,0.339,0.61552,0.729,0.42559
19,,0.403,0.04051,0.475,0.25584,0.289,0.5832,0.704,0.39327
20,,0.353,-0.02717,0.4,0.18816,0.239,0.55088,0.679,0.36095
21,2,0.396,1.0,0.418,0.19548,0.246,0.56856,0.711,0.40363
22,,0.346,0.93232,0.343,0.1278,0.196,0.53624,0.686,0.37131
23,,0.296,0.86464,0.268,0.06012,0.146,0.50392,0.661,0.33899
24,,0.246,0.79696,0.193,-0.00756,0.096,0.4716,0.636,0.30667
25,4,0.264,0.80428,0.186,1.0,0.078,0.46428,0.643,0.32435
26,,0.214,0.7366,0.111,0.93232,0.028,0.43196,0.618,0.29203
27,,0.164,0.66892,0.036,0.86464,-0.022,0.39964,0.593,0.25971
28,5,0.164,0.65824,0.011,0.82896,1.0,0.21732,0.583,0.25939
29,,0.114,0.59056,-0.064,0.76128,0.95,0.185,0.558,0.22707
30,3,0.149,0.61588,1.0,0.7616,0.95,0.19568,0.583,0.26275
31,,0.099,0.5482,0.925,0.69392,0.9,0.16336,0.558,0.23043
32,,0.049,0.48052,0.85,0.62624,0.85,0.13104,0.533,0.19811
33,,-0.001,0.41284,0.775,0.55856,0.8,0.09872,0.508,0.16579
34,1,1.0,0.43816,0.785,0.55888,0.8,0.1094,0.533,0.20147
35,,0.95,0.37048,0.71,0.4912,0.75,0.07708,0.508,0.16915
36,,0.9,0.3028,0.635,0.42352,0.7,0.04476,0.483,0.13683
37,,0.85,0.23512,0.56,0.35584,0.65,0.01244,0.458,0.10451
38,,0.8,0.16744,0.485,0.28816,0.6,-0.01988,0.433,0.07219
39,6,0.793,0.14976,0.453,0.24548,0.557,1.0,0.415,0.06487
40,,0.743,0.08208,0.378,0.1778,0.507,0.96768,0.39,0.03255
41,,0.693,0.0144,0.303,0.11012,0.457,0.93536,0.365,0.00023
42,,0.643,-0.05328,0.228,0.04244,0.407,0.90304,0.34,-0.03209
43,2,0.686,1.0,0.246,0.04976,0.414,0.92072,0.372,0.01059
44,,0.636,0.93232,0.171,-0.01792,0.364,0.8884,0.347,-0.02173
45,8,0.654,0.93964,0.164,-0.0356,0.346,0.88108,0.354,1.0
46,4,0.672,0.94696,0.157,1.0,0.328,0.87376,0.361,1.0
47,,0.622,0.87928,0.082,0.93232,0.278,0.84144,0.336,0.96768
48,,0.572,0.8116,0.007,0.86464,0.228,0.80912,0.311,0.93536
49,,0.522,0.74392,-0.068,0.79696,0.178,0.7768,0.286,0.90304
50,3,0.557,0.76924,1.0,0.79728,0.178,0.78748,0.311,0.93872
51,,0.507,0.70156,0.925,0.7296,0.128,0.75516,0.286,0.9064
52,,0.457,0.63388,0.85,0.66192,0.078,0.72284,0.261,0.87408
53,,0.407,0.5662,0.775,0.59424,0.028,0.69052,0.236,0.84176
54,,0.357,0.49852,0.7,0.52656,-0.022,0.6582,0.211,0.80944
55,5,0.357,0.48784,0.675,0.49088,1.0,0.47588,0.201,0.80912
56,,0.307,0.42016,0.6,0.4232,0.95,0.44356,0.176,0.7768
57,,0.257,0.35248,0.525,0.35552,0.9,0.41124,0.151,0.74448
58,,0.207,0.2848,0.45,0.28784,0.85,0.37892,0.126,0.71216
59,,0.157,0.21712,0.375,0.22016,0.8,0.3466,0.101,0.67984
60,,0.107,0.14944,0.3,0.15248,0.75,0.31428,0.076,0.64752
61,,0.057,0.08176,0.225,0.0848,0.7,0.28196,0.051,0.6152
62,,0.007,0.01408,0.15,0.01712,0.65,0.24964,0.026,0.58288
63,,-0.043,-0.0536,0.075,-0.05056,0.6,0.21732,0.001,0.55056
64,2,0.0,1.0,0.093,-0.04324,0.607,0.235,0.033,0.59324
65,4,0.018,1.0,0.086,1.0,0.589,0.22768,0.04,0.61092
66,,-0.032,0.93232,0.011,0.93232,0.539,0.19536,0.015,0.5786
67,1,1.0,0.95764,0.021,0.93264,0.539,0.20604,0.04,0.61428
68,,0.95,0.88996,-0.054,0.86496,0.489,0.17372,0.015,0.58196
69,3,0.985,0.91528,1.0,0.86528,0.489,0.1844,0.04,0.61764
70,,0.935,0.8476,0.925,0.7976,0.439,0.15208,0.015,0.58532
71,,0.885,0.77992,0.85,0.72992,0.389,0.11976,-0.01,0.553
72,7,0.885,0.76924,0.825,0.69424,0.354,0.09444,1.0,0.55268
73,,0.835,0.70156,0.75,0.62656,0.304,0.06212,0.975,0.52036
74,,0.785,0.63388,0.675,0.55888,0.254,0.0298,0.95,0.48804
75,,0.735,0.5662,0.6,0.4912,0.204,-0.00252,0.925,0.45572
76,6,0.728,0.54852,0.568,0.44852,0.161,1.0,0.907,0.4484
77,,0.678,0.48084,0.493,0.38084,0.111,0.96768,0.882,0.41608
78,,0.628,0.41316,0.418,0.31316,0.061,0.93536,0.857,0.38376
79,,0.578,0.34548,0.343,0.24548,0.011,0.90304,0.832,0.35144
80,,0.528,0.2778,0.268,0.1778,-0.039,0.87072,0.807,0.31912
81,5,0.528,0.26712,0.243,0.14212,1.0,0.6884,0.797,0.3188
82,,0.478,0.19944,0.168,0.07444,0.95,0.65608,0.772,0.28648
83,,0.428,0.13176,0.093,0.00676,0.9,0.62376,0.747,0.25416
84,,0.378,0.06408,0.018,-0.06092,0.85,0.59144,0.722,0.22184
85,4,0.396,0.0714,0.011,1.0,0.832,0.58412,0.729,0.23952
86,,0.346,0.00372,-0.064,0.93232,0.782,0.5518,0.704,0.2072
87,3,0.381,0.02904,1.0,0.93264,0.782,0.56248,0.729,0.24288
88,,0.331,-0.03864,0.925,0.86496,0.732,0.53016,0.704,0.21056
