step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,-0.25092,0.90143,0.46399,0.19732,-0.68796,-0.68801,-0.88383,0.73235
1,7,-0.20092,0.96511,0.53899,0.274,-0.61996,-0.63469,1.0,0.77367
2,6,-0.14692,1.0,0.61799,0.35368,-0.81996,1.0,1.0,0.81799
3,5,-0.09692,1.0,0.69299,0.43036,1.0,0.78232,1.0,0.85931
4,1,1.0,1.0,0.74999,0.48904,1.0,0.81864,1.0,0.88263
5,,0.95,0.96768,0.72499,0.45672,0.95,0.75096,0.925,0.81495
6,,0.9,0.93536,0.69999,0.4244,0.9,0.68328,0.85,0.74727
7,,0.85,0.90304,0.67499,0.39208,0.85,0.6156,0.775,0.67959
8,,0.8,0.87072,0.64999,0.35976,0.8,0.54792,0.7,0.61191
9,,0.75,0.8384,0.62499,0.32744,0.75,0.48024,0.625,0.54423
10,,0.7,0.80608,0.59999,0.29512,0.7,0.41256,0.55,0.47655
11,,0.65,0.77376,0.57499,0.2628,0.65,0.34488,0.475,0.40887
12,,0.6,0.74144,0.54999,0.23048,0.6,0.2772,0.4,0.34119
13,,0.55,0.70912,0.52499,0.19816,0.55,0.20952,0.325,0.27351
14,,0.5,0.6768,0.49999,0.16584,0.5,0.14184,0.25,0.20583
15,,0.45,0.64448,0.47499,0.13352,0.45,0.07416,0.175,0.13815
16,,0.4,0.61216,0.44999,0.1012,0.4,0.00648,0.1,0.07047
17,,0.35,0.57984,0.42499,0.06888,0.35,-0.0612,0.025,0.00279
18,6,0.404,0.64752,0.50399,0.14856,0.15,1.0,0.071,0.04711
19,,0.354,0.6152,0.47899,0.11624,0.1,0.93232,-0.004,-0.02057
20,8,0.395,0.67088,0.54499,0.18392,0.159,0.97664,0.03,1.0
21,,0.345,0.63856,0.51999,0.1516,0.109,0.90896,-0.045,0.93232
22,7,0.395,0.70224,0.59499,0.22828,0.177,0.96228,1.0,0.97364
23,,0.345,0.66992,0.56999,0.19596,0.127,0.8946,0.925,0.90596
24,,0.295,0.6376,0.54499,0.16364,0.077,0.82692,0.85,0.83828
25,,0.245,0.60528,0.51999,0.13132,0.027,0.75924,0.775,0.7706
26,,0.195,0.57296,0.49499,0.099,-0.023,0.69156,0.7,0.70292
27,5,0.245,0.63664,0.56999,0.17568,1.0,0.47388,0.743,0.74424
28,,0.195,0.60432,0.54499,0.14336,0.95,0.4062,0.668,0.67656
