step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,-0.25092,0.90143,0.46399,0.19732,-0.68796,-0.68801,-0.88383,0.73235
1,7,-0.12592,1.0,0.56399,0.29764,-0.57796,-0.56269,1.0,0.86803
2,5,-0.00092,1.0,0.66399,0.39796,1.0,-0.83037,1.0,1.0
3,6,0.13108,1.0,0.77099,0.50528,0.725,1.0,1.0,1.0
4,,0.10608,0.96768,0.72099,0.4376,0.65,0.93232,0.95,0.96768
5,,0.08108,0.93536,0.67099,0.36992,0.575,0.86464,0.9,0.93536
6,,0.05608,0.90304,0.62099,0.30224,0.5,0.79696,0.85,0.90304
7,,0.03108,0.87072,0.57099,0.23456,0.425,0.72928,0.8,0.87072
8,,0.00608,0.8384,0.52099,0.16688,0.35,0.6616,0.75,0.8384
9,,-0.01892,0.80608,0.47099,0.0992,0.275,0.59392,0.7,0.80608
10,1,1.0,0.88076,0.53599,0.16352,0.35,0.68324,0.8,0.90576
11,,0.975,0.84844,0.48599,0.09584,0.275,0.61556,0.75,0.87344
12,,0.95,0.81612,0.43599,0.02816,0.2,0.54788,0.7,0.84112
13,,0.925,0.7838,0.38599,-0.03952,0.125,0.4802,0.65,0.8088
14,4,1.0,0.87648,0.46799,1.0,0.218,0.58752,0.768,0.92648
15,,0.975,0.84416,0.41799,0.93232,0.143,0.51984,0.718,0.89416
16,,0.95,0.81184,0.36799,0.86464,0.068,0.45216,0.668,0.86184
17,,0.925,0.77952,0.31799,0.79696,-0.007,0.38448,0.618,0.82952
18,5,1.0,0.8902,0.41799,0.89728,1.0,0.1168,0.753,0.9652
19,,0.975,0.85788,0.36799,0.8296,0.925,0.04912,0.703,0.93288
20,,0.95,0.82556,0.31799,0.76192,0.85,-0.01856,0.653,0.90056
21,6,1.0,0.94324,0.42499,0.86924,0.575,1.0,0.796,1.0
22,,0.975,0.91092,0.37499,0.80156,0.5,0.93232,0.746,0.96768
23,,0.95,0.8786,0.32499,0.73388,0.425,0.86464,0.696,0.93536
24,,0.925,0.84628,0.27499,0.6662,0.35,0.79696,0.646,0.90304
25,,0.9,0.81396,0.22499,0.59852,0.275,0.72928,0.596,0.87072
26,,0.875,0.78164,0.17499,0.53084,0.2,0.6616,0.546,0.8384
27,,0.85,0.74932,0.12499,0.46316,0.125,0.59392,0.496,0.80608
28,,0.825,0.717,0.07499,0.39548,0.05,0.52624,0.446,0.77376
29,,0.8,0.68468,0.02499,0.3278,-0.025,0.45856,0.396,0.74144
30,5,0.925,0.79536,0.12499,0.42812,1.0,0.19088,0.531,0.87712
31,,0.9,0.76304,0.07499,0.36044,0.925,0.1232,0.481,0.8448
32,,0.875,0.73072,0.02499,0.29276,0.85,0.05552,0.431,0.81248
