step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,-0.25092,0.90143,0.46399,0.19732,-0.68796,-0.68801,-0.88383,0.73235
1,7,-0.2186,0.95843,0.53167,0.25432,-0.65528,-0.68101,1.0,0.73935
2,6,-0.19328,1.0,0.59235,0.30432,-0.8876,1.0,0.98932,0.73935
3,5,-0.16096,1.0,0.66003,0.36132,1.0,0.75,0.98664,0.74635
4,1,1.0,1.0,0.76271,0.45432,1.0,0.793,1.0,0.78935
5,,0.93232,0.95,0.73039,0.42932,0.96768,0.743,0.93232,0.71435
6,,0.86464,0.9,0.69807,0.40432,0.93536,0.693,0.86464,0.63935
7,,0.79696,0.85,0.66575,0.37932,0.90304,0.643,0.79696,0.56435
8,,0.72928,0.8,0.63343,0.35432,0.87072,0.593,0.72928,0.48935
9,,0.6616,0.75,0.60111,0.32932,0.8384,0.543,0.6616,0.41435
10,,0.59392,0.7,0.56879,0.30432,0.80608,0.493,0.59392,0.33935
11,,0.52624,0.65,0.53647,0.27932,0.77376,0.443,0.52624,0.26435
12,,0.45856,0.6,0.50415,0.25432,0.74144,0.393,0.45856,0.18935
13,,0.39088,0.55,0.47183,0.22932,0.70912,0.343,0.39088,0.11435
14,,0.3232,0.5,0.43951,0.20432,0.6768,0.293,0.3232,0.03935
15,,0.25552,0.45,0.40719,0.17932,0.64448,0.243,0.25552,-0.03565
16,8,0.30584,0.525,0.49287,0.25432,0.69416,0.268,0.26984,1.0
17,,0.23816,0.475,0.46055,0.22932,0.66184,0.218,0.20216,0.925
18,,0.17048,0.425,0.42823,0.20432,0.62952,0.168,0.13448,0.85
19,,0.1028,0.375,0.39591,0.17932,0.5972,0.118,0.0668,0.775
20,,0.03512,0.325,0.36359,0.15432,0.56488,0.068,-0.00088,0.7
21,7,0.06744,0.382,0.43127,0.21132,0.59756,0.075,1.0,0.707
22,,-0.00024,0.332,0.39895,0.18632,0.56524,0.025,0.93232,0.632
23,1,1.0,0.425,0.50163,0.27932,0.63292,0.068,0.96464,0.675
24,,0.93232,0.375,0.46931,0.25432,0.6006,0.018,0.89696,0.6
25,,0.86464,0.325,0.43699,0.22932,0.56828,-0.032,0.82928,0.525
26,6,0.88996,0.375,0.49767,0.27932,0.33596,1.0,0.8186,0.525
27,,0.82228,0.325,0.46535,0.25432,0.30364,0.95,0.75092,0.45
28,,0.7546,0.275,0.43303,0.22932,0.27132,0.9,0.68324,0.375
29,,0.68692,0.225,0.40071,0.20432,0.239,0.85,0.61556,0.3
30,,0.61924,0.175,0.36839,0.17932,0.20668,0.8,0.54788,0.225
31,,0.55156,0.125,0.33607,0.15432,0.17436,0.75,0.4802,0.15
32,,0.48388,0.075,0.30375,0.12932,0.14204,0.7,0.41252,0.075
33,,0.4162,0.025,0.27143,0.10432,0.10972,0.65,0.34484,-0.0
34,,0.34852,-0.025,0.23911,0.07932,0.0774,0.6,0.27716,-0.075
35,8,0.39884,0.05,0.32479,0.15432,0.12708,0.625,0.29148,1.0
36,,0.33116,0.0,0.29247,0.12932,0.09476,0.575,0.2238,0.925
37,,0.26348,-0.05,0.26015,0.10432,0.06244,0.525,0.15612,0.85
38,2,0.3388,1.0,0.37083,0.20432,0.13712,0.575,0.19544,0.9
39,,0.27112,0.95,0.33851,0.17932,0.1048,0.525,0.12776,0.825
40,,0.20344,0.9,0.30619,0.15432,0.07248,0.475,0.06008,0.75
41,,0.13576,0.85,0.27387,0.12932,0.04016,0.425,-0.0076,0.675
42,7,0.16808,0.907,0.34155,0.18632,0.07284,0.432,1.0,0.682
43,,0.1004,0.857,0.30923,0.16132,0.04052,0.382,0.93232,0.607
44,,0.03272,0.807,0.27691,0.13632,0.0082,0.332,0.86464,0.532
45,,-0.03496,0.757,0.24459,0.11132,-0.02412,0.282,0.79696,0.457
46,1,1.0,0.85,0.34727,0.20432,0.04356,0.325,0.82928,0.5
47,,0.93232,0.8,0.31495,0.17932,0.01124,0.275,0.7616,0.425
48,,0.86464,0.75,0.28263,0.15432,-0.02108,0.225,0.69392,0.35
49,5,0.89696,0.807,0.35031,0.21132,1.0,-0.025,0.69124,0.357
50,6,0.92228,0.857,0.41099,0.26132,0.76768,1.0,0.68056,0.357
51,,0.8546,0.807,0.37867,0.23632,0.73536,0.95,0.61288,0.282
52,,0.78692,0.757,0.34635,0.21132,0.70304,0.9,0.5452,0.207
53,,0.71924,0.707,0.31403,0.18632,0.67072,0.85,0.47752,0.132
54,,0.65156,0.657,0.28171,0.16132,0.6384,0.8,0.40984,0.057
55,,0.58388,0.607,0.24939,0.13632,0.60608,0.75,0.34216,-0.018
56,8,0.6342,0.682,0.33507,0.21132,0.65576,0.775,0.35648,1.0
57,,0.56652,0.632,0.30275,0.18632,0.62344,0.725,0.2888,0.925
58,,0.49884,0.582,0.27043,0.16132,0.59112,0.675,0.22112,0.85
59,,0.43116,0.532,0.23811,0.13632,0.5588,0.625,0.15344,0.775
60,,0.36348,0.482,0.20579,0.11132,0.52648,0.575,0.08576,0.7
61,,0.2958,0.432,0.17347,0.08632,0.49416,0.525,0.01808,0.625
62,,0.22812,0.382,0.14115,0.06132,0.46184,0.475,-0.0496,0.55
63,7,0.26044,0.439,0.20883,0.11832,0.49452,0.482,1.0,0.557
64,,0.19276,0.389,0.17651,0.09332,0.4622,0.432,0.93232,0.482
65,,0.12508,0.339,0.14419,0.06832,0.42988,0.382,0.86464,0.407
66,,0.0574,0.289,0.11187,0.04332,0.39756,0.332,0.79696,0.332
67,,-0.01028,0.239,0.07955,0.01832,0.36524,0.282,0.72928,0.257
68,1,1.0,0.332,0.18223,0.11132,0.43292,0.325,0.7616,0.3
69,,0.93232,0.282,0.14991,0.08632,0.4006,0.275,0.69392,0.225
70,,0.86464,0.232,0.11759,0.06132,0.36828,0.225,0.62624,0.15
71,,0.79696,0.182,0.08527,0.03632,0.33596,0.175,0.55856,0.075
72,,0.72928,0.132,0.05295,0.01132,0.30364,0.125,0.49088,-0.0
73,,0.6616,0.082,0.02063,-0.01368,0.27132,0.075,0.4232,-0.075
74,8,0.71192,0.157,0.10631,0.06132,0.321,0.1,0.43752,1.0
75,,0.64424,0.107,0.07399,0.03632,0.28868,0.05,0.36984,0.925
76,,0.57656,0.057,0.04167,0.01132,0.25636,0.0,0.30216,0.85
77,,0.50888,0.007,0.00935,-0.01368,0.22404,-0.05,0.23448,0.775
78,6,0.5342,0.057,0.07003,0.03632,-0.00828,1.0,0.2238,0.775
