step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,-0.25092,0.90143,0.46399,0.19732,-0.68796,-0.68801,-0.88383,0.73235
1,7,-0.2686,0.86943,0.43631,0.19032,-0.67028,-0.65601,1.0,0.73935
2,5,-0.29628,0.83743,0.41863,0.19732,1.0,-0.62401,1.0,0.73235
3,6,-0.32096,0.80243,0.39395,0.19732,1.0,1.0,1.0,0.73235
4,1,1.0,0.78443,0.37627,0.19032,1.0,1.0,1.0,0.73935
5,,0.88232,0.65943,0.25859,0.09032,0.91768,0.925,0.91768,0.63935
6,,0.76464,0.53443,0.14091,-0.00968,0.83536,0.85,0.83536,0.53935
7,4,0.73996,0.50943,0.13023,1.0,0.86004,0.875,0.84604,0.52935
8,,0.62228,0.38443,0.01255,0.9,0.77772,0.8,0.76372,0.42935
9,,0.5046,0.25943,-0.10513,0.8,0.6954,0.725,0.6814,0.32935
10,3,0.48692,0.24143,1.0,0.807,0.71308,0.743,0.68908,0.32235
11,,0.36924,0.11643,0.88232,0.707,0.63076,0.668,0.60676,0.22235
12,,0.25156,-0.00857,0.76464,0.607,0.54844,0.593,0.52444,0.12235
13,2,0.24088,1.0,0.75396,0.607,0.55912,0.608,0.53512,0.12235
14,,0.1232,0.875,0.63628,0.507,0.4768,0.533,0.4528,0.02235
15,,0.00552,0.75,0.5186,0.407,0.39448,0.458,0.37048,-0.07765
16,8,-0.00516,0.725,0.49392,0.397,0.40516,0.483,0.39516,1.0
17,1,1.0,0.707,0.47624,0.39,0.41284,0.501,0.41284,1.0
18,,0.88232,0.582,0.35856,0.29,0.33052,0.426,0.33052,0.9
19,,0.76464,0.457,0.24088,0.19,0.2482,0.351,0.2482,0.8
20,,0.64696,0.332,0.1232,0.09,0.16588,0.276,0.16588,0.7
21,,0.52928,0.207,0.00552,-0.01,0.08356,0.201,0.08356,0.6
22,4,0.5046,0.182,-0.00516,1.0,0.10824,0.226,0.09424,0.59
23,3,0.48692,0.164,1.0,1.0,0.12592,0.244,0.10192,0.583
24,,0.36924,0.039,0.88232,0.9,0.0436,0.169,0.0196,0.483
25,,0.25156,-0.086,0.76464,0.8,-0.03872,0.094,-0.06272,0.383
26,2,0.24088,1.0,0.75396,0.8,-0.02804,0.109,-0.05204,0.383
27,7,0.2232,0.968,0.72628,0.793,-0.01036,0.141,1.0,0.39
28,5,0.19552,0.936,0.7086,0.8,1.0,0.173,1.0,0.383
29,,0.07784,0.811,0.59092,0.7,0.91768,0.098,0.91768,0.283
30,,-0.03984,0.686,0.47324,0.6,0.83536,0.023,0.83536,0.183
31,1,1.0,0.668,0.45556,0.593,0.84304,0.041,0.85304,0.19
32,,0.88232,0.543,0.33788,0.493,0.76072,-0.034,0.77072,0.09
33,6,0.85764,0.508,0.3132,0.493,0.7854,1.0,0.7954,0.09
34,,0.73996,0.383,0.19552,0.393,0.70308,0.925,0.71308,-0.01
35,8,0.72928,0.358,0.17084,0.383,0.71376,0.95,0.73776,1.0
36,,0.6116,0.233,0.05316,0.283,0.63144,0.875,0.65544,0.9
37,,0.49392,0.108,-0.06452,0.183,0.54912,0.8,0.57312,0.8
38,3,0.47624,0.09,1.0,0.19,0.5668,0.818,0.5808,0.793
39,,0.35856,-0.035,0.88232,0.09,0.48448,0.743,0.49848,0.693
40,2,0.34788,1.0,0.87164,0.09,0.49516,0.758,0.50916,0.693
41,,0.2302,0.875,0.75396,-0.01,0.41284,0.683,0.42684,0.593
42,4,0.20552,0.85,0.74328,1.0,0.43752,0.708,0.43752,0.583
43,,0.08784,0.725,0.6256,0.9,0.3552,0.633,0.3552,0.483
44,,-0.02984,0.6,0.50792,0.8,0.27288,0.558,0.27288,0.383
45,1,1.0,0.582,0.49024,0.793,0.28056,0.576,0.29056,0.39
46,,0.88232,0.457,0.37256,0.693,0.19824,0.501,0.20824,0.29
47,,0.76464,0.332,0.25488,0.593,0.11592,0.426,0.12592,0.19
48,,0.64696,0.207,0.1372,0.493,0.0336,0.351,0.0436,0.09
49,,0.52928,0.082,0.01952,0.393,-0.04872,0.276,-0.03872,-0.01
50,5,0.5016,0.05,0.00184,0.4,1.0,0.308,-0.02104,-0.017
51,7,0.48392,0.018,-0.02584,0.393,1.0,0.34,1.0,-0.01
52,3,0.46624,0.0,1.0,0.4,1.0,0.358,1.0,-0.017
53,8,0.45556,-0.025,0.97532,0.39,1.0,0.383,1.0,1.0
54,2,0.44488,1.0,0.96464,0.39,1.0,0.398,1.0,1.0
55,,0.3272,0.875,0.84696,0.29,0.91768,0.323,0.91768,0.9
56,,0.20952,0.75,0.72928,0.19,0.83536,0.248,0.83536,0.8
57,,0.09184,0.625,0.6116,0.09,0.75304,0.173,0.75304,0.7
58,,-0.02584,0.5,0.49392,-0.01,0.67072,0.098,0.67072,0.6
59,1,1.0,0.482,0.47624,-0.017,0.6784,0.116,0.6884,0.607
60,4,0.97532,0.457,0.46556,1.0,0.70308,0.141,0.69908,0.597
61,,0.85764,0.332,0.34788,0.9,0.62076,0.066,0.61676,0.497
62,,0.73996,0.207,0.2302,0.8,0.53844,-0.009,0.53444,0.397
63,6,0.71528,0.172,0.20552,0.8,0.56312,1.0,0.55912,0.397
64,,0.5976,0.047,0.08784,0.7,0.4808,0.925,0.4768,0.297
65,,0.47992,-0.078,-0.02984,0.6,0.39848,0.85,0.39448,0.197
66,2,0.46924,1.0,-0.04052,0.6,0.40916,0.865,0.40516,0.197
67,3,0.45156,0.982,1.0,0.607,0.42684,0.883,0.41284,0.19
68,,0.33388,0.857,0.88232,0.507,0.34452,0.808,0.33052,0.09
69,,0.2162,0.732,0.76464,0.407,0.2622,0.733,0.2482,-0.01
70,8,0.20552,0.707,0.73996,0.397,0.27288,0.758,0.27288,1.0
71,,0.08784,0.582,0.62228,0.297,0.19056,0.683,0.19056,0.9
72,,-0.02984,0.457,0.5046,0.197,0.10824,0.608,0.10824,0.8
73,1,1.0,0.439,0.48692,0.19,0.11592,0.626,0.12592,0.807
74,,0.88232,0.314,0.36924,0.09,0.0336,0.551,0.0436,0.707
75,,0.76464,0.189,0.25156,-0.01,-0.04872,0.476,-0.03872,0.607
