step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.45218,0.9517,0.0326,-0.35409,0.59037,-0.45834,-0.12206,-0.84309
1,8,0.4255,0.9147,0.00592,-0.35409,0.61705,-0.42134,-0.09538,1.0
2,6,0.41182,0.8897,-0.00776,-0.34209,0.65573,1.0,-0.0567,1.0
3,4,0.38514,0.8527,-0.03444,1.0,0.68241,1.0,-0.03002,1.0
4,3,0.34946,0.8067,1.0,0.991,0.70009,1.0,-0.01234,0.991
5,7,0.33178,0.7777,0.98232,1.0,0.73577,1.0,1.0,1.0
6,,0.2641,0.7027,0.91464,0.95,0.70345,0.975,0.96768,0.95
7,,0.19642,0.6277,0.84696,0.9,0.67113,0.95,0.93536,0.9
8,,0.12874,0.5527,0.77928,0.85,0.63881,0.925,0.90304,0.85
9,,0.06106,0.4777,0.7116,0.8,0.60649,0.9,0.87072,0.8
10,,-0.00662,0.4027,0.64392,0.75,0.57417,0.875,0.8384,0.75
11,1,1.0,0.3567,0.60824,0.741,0.59185,0.904,0.85608,0.741
12,,0.93232,0.2817,0.54056,0.691,0.55953,0.879,0.82376,0.691
13,,0.86464,0.2067,0.47288,0.641,0.52721,0.854,0.79144,0.641
14,,0.79696,0.1317,0.4052,0.591,0.49489,0.829,0.75912,0.591
15,,0.72928,0.0567,0.33752,0.541,0.46257,0.804,0.7268,0.541
16,,0.6616,-0.0183,0.26984,0.491,0.43025,0.779,0.69448,0.491
17,2,0.62292,1.0,0.23116,0.479,0.44393,0.804,0.70816,0.479
18,,0.55524,0.925,0.16348,0.429,0.41161,0.779,0.67584,0.429
19,,0.48756,0.85,0.0958,0.379,0.37929,0.754,0.64352,0.379
20,,0.41988,0.775,0.02812,0.329,0.34697,0.729,0.6112,0.329
21,,0.3522,0.7,-0.03956,0.279,0.31465,0.704,0.57888,0.279
22,3,0.31652,0.654,1.0,0.27,0.33233,0.733,0.59656,0.27
23,,0.24884,0.579,0.93232,0.22,0.30001,0.708,0.56424,0.22
24,,0.18116,0.504,0.86464,0.17,0.26769,0.683,0.53192,0.17
25,,0.11348,0.429,0.79696,0.12,0.23537,0.658,0.4996,0.12
26,,0.0458,0.354,0.72928,0.07,0.20305,0.633,0.46728,0.07
27,,-0.02188,0.279,0.6616,0.02,0.17073,0.608,0.43496,0.02
28,1,1.0,0.233,0.62592,0.011,0.18841,0.637,0.45264,0.011
29,,0.93232,0.158,0.55824,-0.039,0.15609,0.612,0.42032,-0.039
30,4,0.90564,0.121,0.53156,1.0,0.18277,0.649,0.447,-0.039
31,8,0.87896,0.084,0.50488,1.0,0.20945,0.686,0.47368,1.0
32,,0.81128,0.009,0.4372,0.95,0.17713,0.661,0.44136,0.95
33,,0.7436,-0.066,0.36952,0.9,0.14481,0.636,0.40904,0.9
34,2,0.70492,1.0,0.33084,0.888,0.15849,0.661,0.42272,0.888
35,,0.63724,0.925,0.26316,0.838,0.12617,0.636,0.3904,0.838
36,,0.56956,0.85,0.19548,0.788,0.09385,0.611,0.35808,0.788
37,,0.50188,0.775,0.1278,0.738,0.06153,0.586,0.32576,0.738
38,,0.4342,0.7,0.06012,0.688,0.02921,0.561,0.29344,0.688
39,,0.36652,0.625,-0.00756,0.638,-0.00311,0.536,0.26112,0.638
40,3,0.33084,0.579,1.0,0.629,0.01457,0.565,0.2788,0.629
41,,0.26316,0.504,0.93232,0.579,-0.01775,0.54,0.24648,0.579
42,5,0.24548,0.475,0.91464,0.588,1.0,0.586,0.28216,0.588
43,,0.1778,0.4,0.84696,0.538,0.96768,0.561,0.24984,0.538
44,,0.11012,0.325,0.77928,0.488,0.93536,0.536,0.21752,0.488
45,,0.04244,0.25,0.7116,0.438,0.90304,0.511,0.1852,0.438
46,,-0.02524,0.175,0.64392,0.388,0.87072,0.486,0.15288,0.388
47,1,1.0,0.129,0.60824,0.379,0.8884,0.515,0.17056,0.379
48,,0.93232,0.054,0.54056,0.329,0.85608,0.49,0.13824,0.329
49,,0.86464,-0.021,0.47288,0.279,0.82376,0.465,0.10592,0.279
50,2,0.82596,1.0,0.4342,0.267,0.83744,0.49,0.1196,0.267
51,,0.75828,0.925,0.36652,0.217,0.80512,0.465,0.08728,0.217
52,,0.6906,0.85,0.29884,0.167,0.7728,0.44,0.05496,0.167
53,,0.62292,0.775,0.23116,0.117,0.74048,0.415,0.02264,0.117
54,,0.55524,0.7,0.16348,0.067,0.70816,0.39,-0.00968,0.067
55,7,0.53756,0.671,0.1458,0.076,0.74384,0.436,1.0,0.076
56,,0.46988,0.596,0.07812,0.026,0.71152,0.411,0.96768,0.026
57,,0.4022,0.521,0.01044,-0.024,0.6792,0.386,0.93536,-0.024
58,8,0.37552,0.484,-0.01624,-0.024,0.70588,0.423,0.96204,1.0
59,4,0.34884,0.447,-0.04292,1.0,0.73256,0.46,0.98872,1.0
60,3,0.31316,0.401,1.0,0.991,0.75024,0.489,1.0,0.991
61,,0.24548,0.326,0.93232,0.941,0.71792,0.464,0.96768,0.941
62,,0.1778,0.251,0.86464,0.891,0.6856,0.439,0.93536,0.891
63,,0.11012,0.176,0.79696,0.841,0.65328,0.414,0.90304,0.841
64,,0.04244,0.101,0.72928,0.791,0.62096,0.389,0.87072,0.791
65,,-0.02524,0.026,0.6616,0.741,0.58864,0.364,0.8384,0.741
66,1,1.0,-0.02,0.62592,0.732,0.60632,0.393,0.85608,0.732
67,2,0.96132,1.0,0.58724,0.72,0.62,0.418,0.86976,0.72
68,,0.89364,0.925,0.51956,0.67,0.58768,0.393,0.83744,0.67
69,,0.82596,0.85,0.45188,0.62,0.55536,0.368,0.80512,0.62
70,,0.75828,0.775,0.3842,0.57,0.52304,0.343,0.7728,0.57
71,,0.6906,0.7,0.31652,0.52,0.49072,0.318,0.74048,0.52
72,,0.62292,0.625,0.24884,0.47,0.4584,0.293,0.70816,0.47
73,,0.55524,0.55,0.18116,0.42,0.42608,0.268,0.67584,0.42
74,,0.48756,0.475,0.11348,0.37,0.39376,0.243,0.64352,0.37
75,,0.41988,0.4,0.0458,0.32,0.36144,0.218,0.6112,0.32
76,,0.3522,0.325,-0.02188,0.27,0.32912,0.193,0.57888,0.27
77,3,0.31652,0.279,1.0,0.261,0.3468,0.222,0.59656,0.261
78,,0.24884,0.204,0.93232,0.211,0.31448,0.197,0.56424,0.211
79,,0.18116,0.129,0.86464,0.161,0.28216,0.172,0.53192,0.161
80,,0.11348,0.054,0.79696,0.111,0.24984,0.147,0.4996,0.111
81,,0.0458,-0.021,0.72928,0.061,0.21752,0.122,0.46728,0.061
82,2,0.00712,1.0,0.6906,0.049,0.2312,0.147,0.48096,0.049
83,,-0.06056,0.925,0.62292,-0.001,0.19888,0.122,0.44864,-0.001
84,1,1.0,0.879,0.58724,-0.01,0.21656,0.151,0.46632,-0.01
85,4,0.97332,0.842,0.56056,1.0,0.24324,0.188,0.493,-0.01
86,8,0.94664,0.805,0.53388,1.0,0.26992,0.225,0.51968,1.0
87,,0.87896,0.73,0.4662,0.95,0.2376,0.2,0.48736,0.95
88,,0.81128,0.655,0.39852,0.9,0.20528,0.175,0.45504,0.9
89,,0.7436,0.58,0.33084,0.85,0.17296,0.15,0.42272,0.85
90,,0.67592,0.505,0.26316,0.8,0.14064,0.125,0.3904,0.8
91,,0.60824,0.43,0.19548,0.75,0.10832,0.1,0.35808,0.75
92,,0.54056,0.355,0.1278,0.7,0.076,0.075,0.32576,0.7
93,,0.47288,0.28,0.06012,0.65,0.04368,0.05,0.29344,0.65
94,,0.4052,0.205,-0.00756,0.6,0.01136,0.025,0.26112,0.6
95,3,0.36952,0.159,1.0,0.591,0.02904,0.054,0.2788,0.591
96,,0.30184,0.084,0.93232,0.541,-0.00328,0.029,0.24648,0.541
97,5,0.28416,0.055,0.91464,0.55,1.0,0.075,0.28216,0.55
98,,0.21648,-0.02,0.84696,0.5,0.96768,0.05,0.24984,0.5
99,2,0.1778,1.0,0.80828,0.488,0.98136,0.075,0.26352,0.488
100,,0.11012,0.925,0.7406,0.438,0.94904,0.05,0.2312,0.438
101,,0.04244,0.85,0.67292,0.388,0.91672,0.025,0.19888,0.388
102,,-0.02524,0.775,0.60524,0.338,0.8844,0.0,0.16656,0.338
103,1,1.0,0.729,0.56956,0.329,0.90208,0.029,0.18424,0.329
104,,0.93232,0.654,0.50188,0.279,0.86976,0.004,0.15192,0.279
105,,0.86464,0.579,0.4342,0.229,0.83744,-0.021,0.1196,0.229
106,6,0.85096,0.554,0.42052,0.241,0.87612,1.0,0.15828,0.241
107,,0.78328,0.479,0.35284,0.191,0.8438,0.975,0.12596,0.191
108,,0.7156,0.404,0.28516,0.141,0.81148,0.95,0.09364,0.141
109,,0.64792,0.329,0.21748,0.091,0.77916,0.925,0.06132,0.091
110,,0.58024,0.254,0.1498,0.041,0.74684,0.9,0.029,0.041
111,,0.51256,0.179,0.08212,-0.009,0.71452,0.875,-0.00332,-0.009
112,8,0.48588,0.142,0.05544,-0.009,0.7412,0.912,0.02336,1.0
113,4,0.4592,0.105,0.02876,1.0,0.76788,0.949,0.05004,1.0
114,,0.39152,0.03,-0.03892,0.95,0.73556,0.924,0.01772,0.95
115,3,0.35584,-0.016,1.0,0.941,0.75324,0.953,0.0354,0.941
116,2,0.31716,1.0,0.96132,0.929,0.76692,0.978,0.04908,0.929
117,,0.24948,0.925,0.89364,0.879,0.7346,0.953,0.01676,0.879
118,,0.1818,0.85,0.82596,0.829,0.70228,0.928,-0.01556,0.829
119,7,0.16412,0.821,0.80828,0.838,0.73796,0.974,1.0,0.838
120,,0.09644,0.746,0.7406,0.788,0.70564,0.949,0.96768,0.788
121,,0.02876,0.671,0.67292,0.738,0.67332,0.924,0.93536,0.738
122,,-0.03892,0.596,0.60524,0.688,0.641,0.899,0.90304,0.688
123,1,1.0,0.55,0.56956,0.679,0.65868,0.928,0.92072,0.679
124,,0.93232,0.475,0.50188,0.629,0.62636,0.903,0.8884,0.629
125,,0.86464,0.4,0.4342,0.579,0.59404,0.878,0.85608,0.579
126,,0.79696,0.325,0.36652,0.529,0.56172,0.853,0.82376,0.529
127,,0.72928,0.25,0.29884,0.479,0.5294,0.828,0.79144,0.479
128,,0.6616,0.175,0.23116,0.429,0.49708,0.803,0.75912,0.429
129,,0.59392,0.1,0.16348,0.379,0.46476,0.778,0.7268,0.379
130,,0.52624,0.025,0.0958,0.329,0.43244,0.753,0.69448,0.329
131,,0.45856,-0.05,0.02812,0.279,0.40012,0.728,0.66216,0.279
132,2,0.41988,1.0,-0.01056,0.267,0.4138,0.753,0.67584,0.267
133,3,0.3842,0.954,1.0,0.258,0.43148,0.782,0.69352,0.258
