step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,-0.25092,0.90143,0.46399,0.19732,-0.68796,-0.68801,-0.88383,0.73235
1,7,-0.23021,0.95143,0.4847,0.14732,-0.80867,-0.83801,1.0,0.68235
2,6,-0.2095,1.0,0.50541,0.09732,-0.92938,1.0,0.87929,0.63235
3,5,-0.18879,1.0,0.52612,0.04732,1.0,0.85,0.75858,0.58235
4,1,1.0,1.0,0.54683,-0.00268,0.87929,0.7,0.63787,0.53235
5,4,1.0,1.0,0.56754,1.0,0.75858,0.55,0.51716,0.48235
6,,0.97071,1.0,0.53825,0.9,0.58787,0.35,0.34645,0.38235
7,,0.94142,1.0,0.50896,0.8,0.41716,0.15,0.17574,0.28235
8,,0.91213,1.0,0.47967,0.7,0.24645,-0.05,0.00503,0.18235
9,6,0.93284,1.0,0.50038,0.65,0.12574,1.0,-0.11568,0.13235
10,7,0.95355,1.0,0.52109,0.6,0.00503,0.85,1.0,0.08235
11,,0.92426,1.0,0.4918,0.5,-0.16568,0.65,0.82929,-0.01765
12,5,0.94497,1.0,0.51251,0.45,1.0,0.5,0.70858,-0.06765
13,8,0.96568,1.0,0.53322,0.4,0.87929,0.35,0.58787,1.0
14,,0.93639,1.0,0.50393,0.3,0.70858,0.15,0.41716,0.9
15,,0.9071,1.0,0.47464,0.2,0.53787,-0.05,0.24645,0.8
16,6,0.92781,1.0,0.49535,0.15,0.41716,1.0,0.12574,0.75
17,,0.89852,1.0,0.46606,0.05,0.24645,0.8,-0.04497,0.65
18,7,0.91923,1.0,0.48677,0.0,0.12574,0.65,1.0,0.6
19,,0.88994,1.0,0.45748,-0.1,-0.04497,0.45,0.82929,0.5
20,4,0.91065,1.0,0.47819,1.0,-0.16568,0.3,0.70858,0.45
21,5,0.93136,1.0,0.4989,0.95,1.0,0.15,0.58787,0.4
22,,0.90207,1.0,0.46961,0.85,0.82929,-0.05,0.41716,0.3
23,6,0.92278,1.0,0.49032,0.8,0.70858,1.0,0.29645,0.25
