step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,-0.50625,0.39261,0.42454,-0.70383,0.99548,-0.46644,0.95323,-0.17793
1,4,-0.53857,0.34261,0.35686,1.0,0.9278,-0.51644,0.92091,-0.20293
2,1,1.0,0.29261,0.28918,0.925,0.86012,-0.56644,0.88859,-0.22793
3,6,0.96768,0.24261,0.2215,0.85,0.79244,1.0,0.85627,-0.25293
4,8,0.93536,0.19261,0.15382,0.775,0.72476,0.95,0.82395,1.0
5,,0.90304,0.14261,0.08614,0.7,0.65708,0.9,0.79163,0.975
6,,0.87072,0.09261,0.01846,0.625,0.5894,0.85,0.75931,0.95
7,,0.8384,0.04261,-0.04922,0.55,0.52172,0.8,0.72699,0.925
8,3,0.80608,-0.00739,1.0,0.475,0.45404,0.75,0.69467,0.9
9,2,0.77376,1.0,0.93232,0.4,0.38636,0.7,0.66235,0.875
10,,0.74144,0.95,0.86464,0.325,0.31868,0.65,0.63003,0.85
11,,0.70912,0.9,0.79696,0.25,0.251,0.6,0.59771,0.825
12,,0.6768,0.85,0.72928,0.175,0.18332,0.55,0.56539,0.8
13,,0.64448,0.8,0.6616,0.1,0.11564,0.5,0.53307,0.775
14,,0.61216,0.75,0.59392,0.025,0.04796,0.45,0.50075,0.75
15,,0.57984,0.7,0.52624,-0.05,-0.01972,0.4,0.46843,0.725
16,4,0.54752,0.65,0.45856,1.0,-0.0874,0.35,0.43611,0.7
17,5,0.5152,0.6,0.39088,0.925,1.0,0.3,0.40379,0.675
18,,0.48288,0.55,0.3232,0.85,0.93232,0.25,0.37147,0.65
19,,0.45056,0.5,0.25552,0.775,0.86464,0.2,0.33915,0.625
20,,0.41824,0.45,0.18784,0.7,0.79696,0.15,0.30683,0.6
21,,0.38592,0.4,0.12016,0.625,0.72928,0.1,0.27451,0.575
22,,0.3536,0.35,0.05248,0.55,0.6616,0.05,0.24219,0.55
23,,0.32128,0.3,-0.0152,0.475,0.59392,0.0,0.20987,0.525
24,3,0.28896,0.25,1.0,0.4,0.52624,-0.05,0.17755,0.5
25,6,0.25664,0.2,0.93232,0.325,0.45856,1.0,0.14523,0.475
26,,0.22432,0.15,0.86464,0.25,0.39088,0.95,0.11291,0.45
27,,0.192,0.1,0.79696,0.175,0.3232,0.9,0.08059,0.425
28,,0.15968,0.05,0.72928,0.1,0.25552,0.85,0.04827,0.4
29,,0.12736,0.0,0.6616,0.025,0.18784,0.8,0.01595,0.375
30,,0.09504,-0.05,0.59392,-0.05,0.12016,0.75,-0.01637,0.35
31,2,0.06272,1.0,0.52624,-0.125,0.05248,0.7,-0.04869,0.325
32,4,0.0304,0.95,0.45856,1.0,-0.0152,0.65,-0.08101,0.3
