step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,-0.8699,0.89777,0.93126,0.61679,-0.39077,-0.80466,0.36847,-0.1197
1,1,1.0,0.85709,0.90126,0.59747,-0.40577,-0.82398,0.33847,-0.16038
2,6,0.938,0.79941,0.86426,0.58515,-0.40377,1.0,0.31547,-0.20806
3,5,0.873,0.74473,0.83426,0.57983,1.0,0.99468,0.28547,-0.26274
4,8,0.825,0.69705,0.79726,0.55751,0.988,0.98236,0.26247,1.0
5,,0.75,0.62937,0.74726,0.52519,0.963,0.95004,0.21247,0.93232
6,,0.675,0.56169,0.69726,0.49287,0.938,0.91772,0.16247,0.86464
7,,0.6,0.49401,0.64726,0.46055,0.913,0.8854,0.11247,0.79696
8,,0.525,0.42633,0.59726,0.42823,0.888,0.85308,0.06247,0.72928
9,,0.45,0.35865,0.54726,0.39591,0.863,0.82076,0.01247,0.6616
10,,0.375,0.29097,0.49726,0.36359,0.838,0.78844,-0.03753,0.59392
11,7,0.32,0.23629,0.45726,0.34427,0.833,0.78312,1.0,0.55324
12,,0.245,0.16861,0.40726,0.31195,0.808,0.7508,0.95,0.48556
13,,0.17,0.10093,0.35726,0.27963,0.783,0.71848,0.9,0.41788
14,,0.095,0.03325,0.30726,0.24731,0.758,0.68616,0.85,0.3502
15,,0.02,-0.03443,0.25726,0.21499,0.733,0.65384,0.8,0.28252
16,2,-0.028,1.0,0.23426,0.20267,0.721,0.63152,0.763,0.23484
17,1,1.0,0.95932,0.20426,0.18335,0.706,0.6122,0.733,0.19416
18,,0.925,0.89164,0.15426,0.15103,0.681,0.57988,0.683,0.12648
19,,0.85,0.82396,0.10426,0.11871,0.656,0.54756,0.633,0.0588
20,,0.775,0.75628,0.05426,0.08639,0.631,0.51524,0.583,-0.00888
21,8,0.727,0.7086,0.01726,0.06407,0.619,0.50292,0.56,1.0
22,,0.652,0.64092,-0.03274,0.03175,0.594,0.4706,0.51,0.93232
23,3,0.597,0.60024,1.0,0.02643,0.589,0.45128,0.47,0.87764
24,,0.522,0.53256,0.95,-0.00589,0.564,0.41896,0.42,0.80996
25,4,0.46,0.48488,0.927,1.0,0.566,0.40664,0.383,0.75228
